subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
30;18;m;r;c;n;n;1;series1c;0;1;10;0;1;1;8;nc;0;0;9;0;0;1.31119976565;TCFJ;-99;-99;1d_8u_nc_s_a.png;1d_8u_nc_d_a.png;152.507200312;1
30;18;m;r;c;n;n;1;series1c;1;0;10;0;2;3;8;nc;0;0;9;0;1;1.95492723351;ZFYM;-99;-99;3d_8u_nc_s_b.png;3d_8u_nc_s_b.png;161.138761514;1
30;18;m;r;c;n;n;1;series1c;2;1;10;0;6;1;8;nc;0;0;1;0;1;1.0616034898;PZBN;-99;-99;1d_8u_nc_s_f.png;1d_8u_nc_d_f.png;169.0100413;1
30;18;m;r;c;n;n;1;series1c;3;1;10;0;3;1;6;nc;0;0;1;0;1;1.29314140184;CJQF;-99;-99;1d_6u_nc_s_c.png;1d_6u_nc_d_c.png;176.571971362;1
30;18;m;r;c;n;n;1;series1c;4;0;10;0;5;1;8;nc;0;0;1;0;0;1.89812641125;JQHG;-99;-99;1d_8u_nc_s_e.png;1d_8u_nc_s_e.png;184.576903953;1
30;18;m;r;c;n;n;1;series1c;5;0;-10;0;7;1;4;nc;0;0;9;0;1;1.37362546055;TWKB;-99;-99;1d_4u_nc_s_g.png;1d_4u_nc_s_g.png;192.046940774;1
30;18;m;r;c;n;n;1;series1c;6;1;10;0;2;3;4;nc;0;0;1;0;1;1.50531883165;YXHR;YXHR;1;3d_4u_nc_s_b.png;3d_4u_nc_d_b.png;204.622422629;1
30;18;m;r;c;n;n;1;series1c;7;0;10;0;1;2;8;nc;0;0;9;0;1;2.65697995573;CTMG;-99;-99;2d_8u_nc_s_a.png;2d_8u_nc_s_a.png;213.53803125;1
30;18;m;r;c;n;n;1;series1c;8;0;-10;0;2;1;4;nc;0;0;9;0;1;2.22134615807;QTKN;-99;-99;1d_4u_nc_s_b.png;1d_4u_nc_s_b.png;221.819225812;1
30;18;m;r;c;n;n;1;series1c;9;1;10;0;6;1;6;nc;0;0;1;0;1;0.678882121574;LNJM;-99;-99;1d_6u_nc_s_f.png;1d_6u_nc_d_f.png;228.511680257;1
30;18;m;r;c;n;n;1;series1c;10;1;-10;0;6;2;8;nc;0;0;1;0;1;1.3244496868;FMKW;-99;-99;2d_8u_nc_s_f.png;2d_8u_nc_d_f.png;235.973363176;1
30;18;m;r;c;n;n;1;series1c;11;0;-10;0;1;2;6;nc;0;0;9;0;1;1.44995871326;VHNT;-99;-99;2d_6u_nc_s_a.png;2d_6u_nc_s_a.png;243.293075318;1
30;18;m;r;c;n;n;1;series1c;12;1;10;0;1;3;6;nc;0;0;9;0;0;1.71975371707;ZCHX;-99;-99;3d_6u_nc_s_a.png;3d_6u_nc_d_a.png;250.938888615;1
30;18;m;r;c;n;n;1;series1c;13;1;-10;0;1;3;4;nc;0;0;9;0;0;1.40164620755;DFXM;-99;-99;3d_4u_nc_s_a.png;3d_4u_nc_d_a.png;258.467112106;1
30;18;m;r;c;n;n;1;series1c;14;0;-10;0;5;2;6;nc;0;0;1;0;0;1.11670600716;MYRB;MYRB;1;2d_6u_nc_s_e.png;2d_6u_nc_s_e.png;269.505207194;1
30;18;m;r;c;n;n;1;series1c;15;0;-10;0;2;3;6;nc;0;0;9;0;1;1.54836736247;CMXL;-99;-99;3d_6u_nc_s_b.png;3d_6u_nc_s_b.png;278.08659077;1
30;18;m;r;c;n;n;1;series1c;16;1;-10;0;2;2;6;nc;0;0;1;0;1;1.37326777074;WVNZ;-99;-99;2d_6u_nc_s_b.png;2d_6u_nc_d_b.png;285.590186916;1
30;18;m;r;c;n;n;1;series1c;17;0;10;0;8;3;4;nc;0;0;9;0;1;2.37314490508;NSJF;-99;-99;3d_4u_nc_s_h.png;3d_4u_nc_s_h.png;293.920841479;1
30;18;m;r;c;n;n;1;series1c;18;1;10;0;7;3;8;nc;0;0;9;0;0;1.72346791672;HDVS;-99;-99;3d_8u_nc_s_g.png;3d_8u_nc_d_g.png;301.758540767;1
30;18;m;r;c;n;n;1;series1c;19;0;10;0;4;2;4;nc;0;0;9;0;1;1.84262706665;ZGVH;-99;-99;2d_4u_nc_s_d.png;2d_4u_nc_s_d.png;309.59636709;1
30;18;m;r;c;n;n;1;series1c;20;1;-10;0;7;1;6;nc;0;0;9;0;0;1.76706693694;SGDR;SGDR;1;1d_6u_nc_s_g.png;1d_6u_nc_d_g.png;322.430819902;1
30;18;m;r;c;n;n;1;series1c;21;0;-10;0;8;3;8;nc;0;0;9;0;1;1.82839486096;KVLZ;-99;-99;3d_8u_nc_s_h.png;3d_8u_nc_s_h.png;330.385910101;1
30;18;m;r;c;n;n;1;series1c;22;1;-10;0;7;1;8;nc;0;0;1;0;1;0.727982507553;JNCS;-99;-99;1d_8u_nc_s_g.png;1d_8u_nc_d_g.png;337.095273811;1
30;18;m;r;c;n;n;1;series1c;23;1;10;0;8;2;4;nc;0;0;1;0;1;1.39974547876;FTXV;-99;-99;2d_4u_nc_s_h.png;2d_4u_nc_d_h.png;344.531973941;1
30;18;m;r;c;n;n;1;series1c;24;0;10;0;7;3;4;nc;0;0;9;0;1;1.5700632548;RKDQ;-99;-99;3d_4u_nc_s_g.png;3d_4u_nc_s_g.png;351.977032785;1
30;18;m;r;c;n;n;1;series1c;25;0;10;0;4;1;6;nc;0;0;1;0;0;1.55513748433;PQCL;-99;-99;1d_6u_nc_s_d.png;1d_6u_nc_s_d.png;359.447097837;1
30;18;m;r;c;n;n;1;series1c;26;1;10;0;7;2;4;nc;0;0;1;0;1;1.19279128313;QPLC;-99;-99;2d_4u_nc_s_g.png;2d_4u_nc_d_g.png;366.649783493;1
30;18;m;r;c;n;n;1;series1c;27;0;10;0;6;1;4;nc;0;0;9;0;1;1.03532403475;KWLZ;-99;-99;1d_4u_nc_s_f.png;1d_4u_nc_s_f.png;373.57673393;1
30;18;m;r;c;n;n;1;series1c;28;0;10;0;8;2;8;nc;0;0;1;0;0;1.46747717354;RJYZ;-99;-99;2d_8u_nc_s_h.png;2d_8u_nc_s_h.png;380.946515909;1
30;18;m;r;c;n;n;1;series1c;29;0;10;0;7;1;6;nc;0;0;1;0;0;1.40205009189;ZJGD;-99;-99;1d_6u_nc_s_g.png;1d_6u_nc_s_g.png;388.241230505;1
30;18;m;r;c;n;n;1;series1c;30;1;10;0;1;1;4;nc;0;0;1;0;1;1.12291986542;LGTN;LGTN;1;1d_4u_nc_s_a.png;1d_4u_nc_d_a.png;398.435201041;1
30;18;m;r;c;n;n;1;series1c;31;0;10;0;7;1;8;nc;0;0;9;0;1;2.00833048346;HPKN;-99;-99;1d_8u_nc_s_g.png;1d_8u_nc_s_g.png;406.732577298;1
30;18;m;r;c;n;n;1;series1c;32;1;10;0;6;2;4;nc;0;0;1;0;1;1.49136732472;GJSP;-99;-99;2d_4u_nc_s_f.png;2d_4u_nc_d_f.png;414.219323206;1
30;18;m;r;c;n;n;1;series1c;33;1;-10;0;8;1;4;nc;0;0;1;0;1;1.28885040712;HKQL;-99;-99;1d_4u_nc_s_h.png;1d_4u_nc_d_h.png;421.405352066;1
30;18;m;r;c;n;n;1;series1c;34;1;-10;0;8;1;8;nc;0;0;1;0;1;1.1029514703;NJSP;-99;-99;1d_8u_nc_s_h.png;1d_8u_nc_d_h.png;428.399047102;1
30;18;m;r;c;n;n;1;series1c;35;0;10;0;3;1;4;nc;0;0;9;0;1;2.33915956039;KTLF;KTLF;1;1d_4u_nc_s_c.png;1d_4u_nc_s_c.png;439.654292631;1
30;18;m;r;c;n;n;1;series1c;36;1;10;0;2;2;4;nc;0;0;1;0;1;1.78582303599;YXHT;YXHT;1;2d_4u_nc_s_b.png;2d_4u_nc_d_b.png;452.321759154;1
30;18;m;r;c;n;n;1;series1c;37;0;-10;0;3;1;8;nc;0;0;9;0;1;1.73337929323;BRDJ;-99;-99;1d_8u_nc_s_c.png;1d_8u_nc_s_c.png;460.243080867;1
30;18;m;r;c;n;n;1;series1c;38;0;10;0;5;3;6;nc;0;0;9;0;1;1.88256096933;YQFT;-99;-99;3d_6u_nc_s_e.png;3d_6u_nc_s_e.png;467.972272142;1
30;18;m;r;c;n;n;1;series1c;39;0;10;0;5;2;8;nc;0;0;1;0;0;1.38075102679;PRQX;-99;-99;2d_8u_nc_s_e.png;2d_8u_nc_s_e.png;475.308589432;1
30;18;m;r;c;n;n;1;series1c;40;0;-10;0;2;2;8;nc;0;0;9;0;1;1.30935261026;QCBD;-99;-99;2d_8u_nc_s_b.png;2d_8u_nc_s_b.png;482.544710265;1
30;18;m;r;c;n;n;1;series1c;41;0;-10;0;6;1;8;nc;0;0;9;0;1;1.09302822454;JZSL;-99;-99;1d_8u_nc_s_f.png;1d_8u_nc_s_f.png;489.471948457;1
30;18;m;r;c;n;n;1;series1c;42;0;-10;0;7;2;8;nc;0;0;9;0;1;1.03804921452;FPLC;-99;-99;2d_8u_nc_s_g.png;2d_8u_nc_s_g.png;496.348555094;1
30;18;m;r;c;n;n;1;series1c;43;1;-10;0;1;2;8;nc;0;0;9;0;0;1.05039095646;WXNH;-99;-99;2d_8u_nc_s_a.png;2d_8u_nc_d_a.png;503.392488386;1
30;18;m;r;c;n;n;1;series1c;44;0;10;0;4;3;8;nc;0;0;9;0;1;0.886657560244;HWPC;-99;-99;3d_8u_nc_s_d.png;3d_8u_nc_s_d.png;510.26931509;1
30;18;m;r;c;n;n;1;series1c;45;0;10;0;3;3;8;nc;0;0;9;0;1;0.827467113268;TJKY;-99;-99;3d_8u_nc_s_c.png;3d_8u_nc_s_c.png;517.045760879;1
30;18;m;r;c;n;n;1;series1c;46;0;10;0;4;2;6;nc;0;0;9;0;1;0.66864064429;XFJV;-99;-99;2d_6u_nc_s_d.png;2d_6u_nc_s_d.png;523.621917051;1
30;18;m;r;c;n;n;1;series1c;47;0;-10;0;6;2;6;nc;0;0;9;0;1;0.690021192189;JVYT;JVYT;1;2d_6u_nc_s_f.png;2d_6u_nc_s_f.png;534.826979822;1
30;18;m;r;c;n;n;1;series1c;48;0;-10;0;8;2;4;nc;0;0;9;0;1;1.00238064211;QLZR;-99;-99;2d_4u_nc_s_h.png;2d_4u_nc_s_h.png;542.037957466;1
30;18;m;r;c;n;n;1;series1c;49;1;-10;0;4;1;4;nc;0;0;1;0;1;0.858061622828;YQTX;-99;-99;1d_4u_nc_s_d.png;1d_4u_nc_d_d.png;548.848057857;1
30;18;m;r;c;n;n;1;series1c;50;1;-10;0;6;1;4;nc;0;0;1;0;1;1.57627005549;TNSB;TNSB;1;1d_4u_nc_s_f.png;1d_4u_nc_d_f.png;559.443136943;1
30;18;m;r;c;n;n;1;series1c;51;1;-10;0;1;1;6;nc;0;0;1;0;1;1.21726207854;DBYL;-99;-99;1d_6u_nc_s_a.png;1d_6u_nc_d_a.png;566.879829053;1
30;18;m;r;c;n;n;1;series1c;52;0;-10;0;8;1;8;nc;0;0;9;0;1;1.22961921897;KFNC;-99;-99;1d_8u_nc_s_h.png;1d_8u_nc_s_h.png;573.932126513;1
30;18;m;r;c;n;n;1;series1c;53;1;-10;0;5;1;4;nc;0;0;1;0;1;1.1340153073;DTVY;-99;-99;1d_4u_nc_s_e.png;1d_4u_nc_d_e.png;580.959356172;1
30;18;m;r;c;n;n;1;series1c;54;0;-10;0;5;3;4;nc;0;0;9;0;1;1.07502503786;JFQC;-99;-99;3d_4u_nc_s_e.png;3d_4u_nc_s_e.png;587.919817171;1
