subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
17;19;m;r;c;n;n;1;series1c;0;1;-10;0;4;1;6;nc;0;0;1;0;1;1.37124417676;FXKZ;FXKZ;1;1d_6u_nc_s_d.png;1d_6u_nc_d_d.png;177.476667396;1
17;19;m;r;c;n;n;1;series1c;1;0;10;0;8;2;4;nc;0;0;9;0;1;1.31060468522;CXLZ;-99;-99;2d_4u_nc_s_h.png;2d_4u_nc_s_h.png;185.105641683;1
17;19;m;r;c;n;n;1;series1c;2;1;10;0;8;2;4;nc;0;0;1;0;1;1.20925656357;HKWN;-99;-99;2d_4u_nc_s_h.png;2d_4u_nc_d_h.png;192.458583369;1
17;19;m;r;c;n;n;1;series1c;3;0;-10;0;3;2;4;nc;0;0;9;0;1;1.58963129413;SBPM;-99;-99;2d_4u_nc_s_c.png;2d_4u_nc_s_c.png;200.062456171;1
17;19;m;r;c;n;n;1;series1c;4;1;-10;0;7;2;4;nc;0;0;1;0;1;1.42917164182;WDHT;-99;-99;2d_4u_nc_s_g.png;2d_4u_nc_d_g.png;207.616114776;1
17;19;m;r;c;n;n;1;series1c;5;0;10;0;6;2;8;nc;0;0;-1;1;-99999;-1;YHVW;YHVW;1;2d_8u_nc_s_f.png;2d_8u_nc_s_f.png;223.951642261;1
17;19;m;r;c;n;n;1;series1c;6;1;-10;0;1;3;8;nc;0;0;1;0;1;1.6846587318;PJCS;-99;-99;3d_8u_nc_s_a.png;3d_8u_nc_d_a.png;232.483020159;1
17;19;m;r;c;n;n;1;series1c;7;0;10;0;2;3;6;nc;0;0;9;0;1;1.30440815003;JBPN;-99;-99;3d_6u_nc_s_b.png;3d_6u_nc_s_b.png;240.095043478;1
17;19;m;r;c;n;n;1;series1c;8;0;10;0;5;2;8;nc;0;0;9;0;1;1.44164298638;MPNB;-99;-99;2d_8u_nc_s_e.png;2d_8u_nc_s_e.png;247.523390348;1
17;19;m;r;c;n;n;1;series1c;9;0;-10;0;2;2;4;nc;0;0;9;0;1;1.51337792003;XHZW;-99;-99;2d_4u_nc_s_b.png;2d_4u_nc_s_b.png;255.118755586;1
17;19;m;r;c;n;n;1;series1c;10;0;-10;0;5;2;4;nc;0;0;9;0;1;1.47839585575;RLKZ;RLKZ;1;2d_4u_nc_s_e.png;2d_4u_nc_s_e.png;265.622034783;1
17;19;m;r;c;n;n;1;series1c;11;1;-10;0;2;2;6;nc;0;0;1;0;1;1.2604674797;TBVC;-99;-99;2d_6u_nc_s_b.png;2d_6u_nc_d_b.png;273.009100399;1
17;19;m;r;c;n;n;1;series1c;12;1;-10;0;4;2;4;nc;0;0;1;0;1;1.29762968747;QCNY;-99;-99;2d_4u_nc_s_d.png;2d_4u_nc_d_d.png;280.253077255;1
17;19;m;r;c;n;n;1;series1c;13;0;10;0;7;2;6;nc;0;0;9;0;1;1.52727104165;LNWQ;-99;-99;2d_6u_nc_s_g.png;2d_6u_nc_s_g.png;287.856919261;1
17;19;m;r;c;n;n;1;series1c;14;0;10;0;1;1;6;nc;0;0;9;0;1;1.32818056806;ZSFT;-99;-99;1d_6u_nc_s_a.png;1d_6u_nc_s_a.png;295.343599726;1
17;19;m;r;c;n;n;1;series1c;15;0;10;0;7;2;8;nc;0;0;9;0;1;1.24470057664;NXYF;-99;-99;2d_8u_nc_s_g.png;2d_8u_nc_s_g.png;302.479554899;1
17;19;m;r;c;n;n;1;series1c;16;0;10;0;5;3;4;nc;0;0;9;0;1;1.08661835873;QGRN;-99;-99;3d_4u_nc_s_e.png;3d_4u_nc_s_e.png;309.414876881;1
17;19;m;r;c;n;n;1;series1c;17;0;10;0;8;1;4;nc;0;0;9;0;1;1.14456571336;LZSW;-99;-99;1d_4u_nc_s_h.png;1d_4u_nc_s_h.png;316.375264097;1
17;19;m;r;c;n;n;1;series1c;18;1;-10;0;8;2;8;nc;0;0;1;0;1;1.17509349645;YLJV;-99;-99;2d_8u_nc_s_h.png;2d_8u_nc_d_h.png;323.385740078;1
17;19;m;r;c;n;n;1;series1c;19;1;-10;0;1;2;6;nc;0;0;1;0;1;1.43534090882;MLXZ;-99;-99;2d_6u_nc_s_a.png;2d_6u_nc_d_a.png;330.680379607;1
17;19;m;r;c;n;n;1;series1c;20;0;10;0;2;1;8;nc;0;0;9;0;1;1.15313390829;KDHV;-99;-99;1d_8u_nc_s_b.png;1d_8u_nc_s_b.png;337.782783154;1
17;19;m;r;c;n;n;1;series1c;21;0;10;0;6;1;8;nc;0;0;9;0;1;1.07827760954;XSRD;-99;-99;1d_8u_nc_s_f.png;1d_8u_nc_s_f.png;344.726454867;1
17;19;m;r;c;n;n;1;series1c;22;1;-10;0;8;1;6;nc;0;0;1;0;1;1.37585211988;PVJN;PVJN;1;1d_6u_nc_s_h.png;1d_6u_nc_d_h.png;354.987366652;1
17;19;m;r;c;n;n;1;series1c;23;1;-10;0;5;1;8;nc;0;0;1;0;1;1.30279613985;DTGK;-99;-99;1d_8u_nc_s_e.png;1d_8u_nc_d_e.png;362.783335889;1
17;19;m;r;c;n;n;1;series1c;24;0;-10;0;1;3;6;nc;0;0;9;0;1;1.2551377411;BJWM;-99;-99;3d_6u_nc_s_a.png;3d_6u_nc_s_a.png;369.860796105;1
17;19;m;r;c;n;n;1;series1c;25;1;-10;0;3;2;8;nc;0;0;9;0;0;1.29580402584;QHWG;-99;-99;2d_8u_nc_s_c.png;2d_8u_nc_d_c.png;377.021571744;1
17;19;m;r;c;n;n;1;series1c;26;0;-10;0;4;1;4;nc;0;0;9;0;1;1.5141410986;DQWL;DQWL;1;1d_4u_nc_s_d.png;1d_4u_nc_s_d.png;387.808972785;1
17;19;m;r;c;n;n;1;series1c;27;1;-10;0;4;1;8;nc;0;0;1;0;1;1.22600478749;CYNR;-99;-99;1d_8u_nc_s_d.png;1d_8u_nc_d_d.png;394.928128086;1
17;19;m;r;c;n;n;1;series1c;28;0;-10;0;7;3;8;nc;0;0;9;0;1;1.3982659583;ZWVK;-99;-99;3d_8u_nc_s_g.png;3d_8u_nc_s_g.png;402.139236616;1
17;19;m;r;c;n;n;1;series1c;29;0;-10;0;3;3;8;nc;0;0;9;0;1;1.27122544195;KFQH;-99;-99;3d_8u_nc_s_c.png;3d_8u_nc_s_c.png;409.31684966;1
17;19;m;r;c;n;n;1;series1c;30;0;10;0;7;3;6;nc;0;0;9;0;1;1.22287251567;WSQT;WSQT;1;3d_6u_nc_s_g.png;3d_6u_nc_s_g.png;419.276910304;1
17;19;m;r;c;n;n;1;series1c;31;0;10;0;2;2;6;nc;0;0;9;0;1;1.14820003416;DSRQ;-99;-99;2d_6u_nc_s_b.png;2d_6u_nc_s_b.png;426.354368596;1
17;19;m;r;c;n;n;1;series1c;32;0;-10;0;7;2;4;nc;0;0;9;0;1;1.17915993254;CVKY;-99;-99;2d_4u_nc_s_g.png;2d_4u_nc_s_g.png;433.548603149;1
17;19;m;r;c;n;n;1;series1c;33;0;10;0;3;3;4;nc;0;0;9;0;1;1.19952130527;ZDMF;-99;-99;3d_4u_nc_s_c.png;3d_4u_nc_s_c.png;440.600950011;1
17;19;m;r;c;n;n;1;series1c;34;0;10;0;1;2;6;nc;0;0;9;0;1;1.09726981609;VRKT;VRKT;1;2d_6u_nc_s_a.png;2d_6u_nc_s_a.png;450.803315833;1
17;19;m;r;c;n;n;1;series1c;35;0;-10;0;4;2;8;nc;0;0;9;0;1;1.10879127798;HMGB;HMGB;1;2d_8u_nc_s_d.png;2d_8u_nc_s_d.png;461.097716688;1
17;19;m;r;c;n;n;1;series1c;36;0;-10;0;4;1;6;nc;0;0;9;0;1;1.73097651568;LTHF;-99;-99;1d_6u_nc_s_d.png;1d_6u_nc_s_d.png;469.411722474;1
17;19;m;r;c;n;n;1;series1c;37;1;-10;0;1;1;4;nc;0;0;1;0;1;0.989404040622;VBCF;VBCF;1;1d_4u_nc_s_a.png;1d_4u_nc_d_a.png;479.24645438;1
17;19;m;r;c;n;n;1;series1c;38;1;10;0;3;2;6;nc;0;0;1;0;1;1.15633579344;NCPS;-99;-99;2d_6u_nc_s_c.png;2d_6u_nc_d_c.png;486.649835463;1
17;19;m;r;c;n;n;1;series1c;39;0;-10;0;8;2;8;nc;0;0;9;0;1;1.19995117467;TMPR;-99;-99;2d_8u_nc_s_h.png;2d_8u_nc_s_h.png;493.743912376;1
17;19;m;r;c;n;n;1;series1c;40;0;10;0;2;1;6;nc;0;0;9;0;1;1.28417798388;NDPJ;-99;-99;1d_6u_nc_s_b.png;1d_6u_nc_s_b.png;500.863040729;1
17;19;m;r;c;n;n;1;series1c;41;0;-10;0;3;2;8;nc;0;0;9;0;1;1.17264805292;QVYR;-99;-99;2d_8u_nc_s_c.png;2d_8u_nc_s_c.png;507.881963964;1
17;19;m;r;c;n;n;1;series1c;42;1;-10;0;5;2;8;nc;0;0;9;0;0;1.01692498405;MXZC;-99;-99;2d_8u_nc_s_e.png;2d_8u_nc_d_e.png;514.758640856;1
17;19;m;r;c;n;n;1;series1c;43;1;-10;0;5;3;8;nc;0;0;1;0;1;1.16039998387;FJLB;-99;-99;3d_8u_nc_s_e.png;3d_8u_nc_d_e.png;521.869438725;1
17;19;m;r;c;n;n;1;series1c;44;0;10;0;6;1;4;nc;0;0;9;0;1;1.2695062852;VMCP;VMCP;1;1d_4u_nc_s_f.png;1d_4u_nc_s_f.png;532.623352301;1
17;19;m;r;c;n;n;1;series1c;45;0;10;0;4;1;8;nc;0;0;1;0;0;1.54620357975;THBF;-99;-99;1d_8u_nc_s_d.png;1d_8u_nc_s_d.png;540.243959854;1
17;19;m;r;c;n;n;1;series1c;46;0;10;0;3;1;6;nc;0;0;9;0;1;1.15623185481;LTXN;-99;-99;1d_6u_nc_s_c.png;1d_6u_nc_s_c.png;547.505107105;1
17;19;m;r;c;n;n;1;series1c;47;1;-10;0;3;1;6;nc;0;0;1;0;1;1.30633037188;MXLW;-99;-99;1d_6u_nc_s_c.png;1d_6u_nc_d_c.png;554.649254177;1
