subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
919;18;f;r;n;n;n;1;series1c;0;0;-10;0;5;3;4;nc;0;0;9;0;1;1.29087618327;DYRF;-99;-99;3d_4u_nc_s_e.png;3d_4u_nc_s_e.png;156.749669973;1
919;18;f;r;n;n;n;1;series1c;1;0;10;0;7;3;4;nc;0;0;9;0;1;1.44285948749;YFVK;YFVK;1;3d_4u_nc_s_g.png;3d_4u_nc_s_g.png;171.364222216;1
919;18;f;r;n;n;n;1;series1c;2;0;10;0;1;1;4;nc;0;0;9;0;1;1.24198356876;KWMQ;-99;-99;1d_4u_nc_s_a.png;1d_4u_nc_s_a.png;179.788565497;1
919;18;f;r;n;n;n;1;series1c;3;0;10;0;2;3;8;nc;0;0;9;0;1;1.4955076241;QYRT;-99;-99;3d_8u_nc_s_b.png;3d_8u_nc_s_b.png;188.113163158;1
919;18;f;r;n;n;n;1;series1c;4;1;10;0;3;1;4;nc;0;0;9;0;0;1.92424557469;YDZQ;YDZQ;1;1d_4u_nc_s_c.png;1d_4u_nc_d_c.png;201.426585558;1
919;18;f;r;n;n;n;1;series1c;5;0;-10;0;6;3;4;nc;0;0;9;0;1;1.94991243373;FSNK;-99;-99;3d_4u_nc_s_f.png;3d_4u_nc_s_f.png;210.901968726;1
919;18;f;r;n;n;n;1;series1c;6;1;-10;0;7;2;6;nc;0;0;1;0;1;1.66635330353;PKXF;PKXF;1;2d_6u_nc_s_g.png;2d_6u_nc_d_g.png;223.781514116;1
919;18;f;r;n;n;n;1;series1c;7;0;10;0;1;2;8;nc;0;0;9;0;1;1.92858961271;CZLG;-99;-99;2d_8u_nc_s_a.png;2d_8u_nc_s_a.png;232.305999819;1
919;18;f;r;n;n;n;1;series1c;8;0;10;0;3;2;4;nc;0;0;9;0;1;1.44546869787;DXKS;-99;-99;2d_4u_nc_s_c.png;2d_4u_nc_s_c.png;240.497226238;1
919;18;f;r;n;n;n;1;series1c;9;1;10;0;4;1;4;nc;0;0;1;0;1;1.19577355137;DZNY;-99;-99;1d_4u_nc_s_d.png;1d_4u_nc_d_d.png;248.304809987;1
919;18;f;r;n;n;n;1;series1c;10;1;10;0;2;2;4;nc;0;0;1;0;1;1.3050310002;KXRD;-99;-99;2d_4u_nc_s_b.png;2d_4u_nc_d_b.png;256.112223922;1
919;18;f;r;n;n;n;1;series1c;11;1;-10;0;1;3;8;nc;0;0;1;0;1;1.39077938675;DJXR;-99;-99;3d_8u_nc_s_a.png;3d_8u_nc_d_a.png;264.069915631;1
919;18;f;r;n;n;n;1;series1c;12;0;-10;0;8;1;6;nc;0;0;9;0;1;1.18563708338;KRNF;KRNF;1;1d_6u_nc_s_h.png;1d_6u_nc_s_h.png;275.464613242;1
919;18;f;r;n;n;n;1;series1c;13;0;10;0;3;1;8;nc;0;0;9;0;1;1.33483112382;VZLD;VZLD;1;1d_8u_nc_s_c.png;1d_8u_nc_s_c.png;287.592971715;1
