subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
910;20;f;r;n;n;n;1;series1c;0;0;-10;0;1;1;6;nc;0;0;9;0;1;1.37204644061;YQBJ;-99;-99;1d_6u_nc_s_a.png;1d_6u_nc_s_a.png;216.966744235;1
910;20;f;r;n;n;n;1;series1c;1;1;-10;0;6;3;6;nc;0;0;9;0;0;2.18989763153;RZLH;-99;-99;3d_6u_nc_s_f.png;3d_6u_nc_d_f.png;226.926321335;1
910;20;f;r;n;n;n;1;series1c;2;0;-10;0;8;3;8;nc;0;0;9;0;1;1.97422710177;BQZM;-99;-99;3d_8u_nc_s_h.png;3d_8u_nc_s_h.png;236.669085294;1
910;20;f;r;n;n;n;1;series1c;3;1;10;0;8;3;4;nc;0;0;1;0;1;1.77528699674;FCHB;-99;-99;3d_4u_nc_s_h.png;3d_4u_nc_d_h.png;245.043840779;1
910;20;f;r;n;n;n;1;series1c;4;0;-10;0;1;2;4;nc;0;0;9;0;1;1.33756756608;CRZN;ZRCN;0;2d_4u_nc_s_a.png;2d_4u_nc_s_a.png;256.95554084;1
910;20;f;r;n;n;n;1;series1c;5;1;10;0;7;1;8;nc;0;0;1;0;1;1.33000107226;GVMP;-99;-99;1d_8u_nc_s_g.png;1d_8u_nc_d_g.png;266.614899004;1
910;20;f;r;n;n;n;1;series1c;6;1;10;0;7;3;8;nc;0;0;9;0;0;1.38909914042;DKZY;DKZY;1;3d_8u_nc_s_g.png;3d_8u_nc_d_g.png;278.659854803;1
910;20;f;r;n;n;n;1;series1c;7;1;-10;0;8;1;6;nc;0;0;9;0;0;1.4859759172;FSBR;-99;-99;1d_6u_nc_s_h.png;1d_6u_nc_d_h.png;286.81773656;1
910;20;f;r;n;n;n;1;series1c;8;0;-10;0;3;2;4;nc;0;0;9;0;1;1.4843446312;MZLT;-99;-99;2d_4u_nc_s_c.png;2d_4u_nc_s_c.png;294.67507227;1
910;20;f;r;n;n;n;1;series1c;9;1;-10;0;8;2;4;nc;0;0;1;0;1;1.22100812057;QJRP;-99;-99;2d_4u_nc_s_h.png;2d_4u_nc_d_h.png;302.015506747;1
910;20;f;r;n;n;n;1;series1c;10;0;-10;0;8;2;6;nc;0;0;9;0;1;1.42798063846;WNRJ;-99;-99;2d_6u_nc_s_h.png;2d_6u_nc_s_h.png;309.472660811;1
910;20;f;r;n;n;n;1;series1c;11;0;-10;0;8;3;6;nc;0;0;9;0;1;1.2597545078;NZKC;-99;-99;3d_6u_nc_s_h.png;3d_6u_nc_s_h.png;316.930141986;1
910;20;f;r;n;n;n;1;series1c;12;0;10;0;1;1;4;nc;0;0;9;0;1;1.16563825961;SQMG;-99;-99;1d_4u_nc_s_a.png;1d_4u_nc_s_a.png;324.036760968;1
910;20;f;r;n;n;n;1;series1c;13;0;-10;0;4;3;6;nc;0;0;9;0;1;1.20138973626;GKDJ;GKDJ;1;3d_6u_nc_s_d.png;3d_6u_nc_s_d.png;334.997753462;1
910;20;f;r;n;n;n;1;series1c;14;1;-10;0;8;3;6;nc;0;0;1;0;1;1.09645067982;RLDQ;RLDQ;1;3d_6u_nc_s_h.png;3d_6u_nc_d_h.png;345.991499677;1
910;20;f;r;n;n;n;1;series1c;15;1;-10;0;1;2;8;nc;0;0;1;0;1;1.45367645239;FLPR;-99;-99;2d_8u_nc_s_a.png;2d_8u_nc_d_a.png;354.416328392;1
910;20;f;r;n;n;n;1;series1c;16;1;-10;0;6;2;8;nc;0;0;9;0;0;1.94318601699;MTZK;-99;-99;2d_8u_nc_s_f.png;2d_8u_nc_d_f.png;362.490554327;1
910;20;f;r;n;n;n;1;series1c;17;0;10;0;7;2;6;nc;0;0;9;0;1;1.25271423534;ZGRB;-99;-99;2d_6u_nc_s_g.png;2d_6u_nc_s_g.png;369.881032452;1
910;20;f;r;n;n;n;1;series1c;18;0;-10;0;4;2;4;nc;0;0;9;0;1;1.33492451289;LCRV;-99;-99;2d_4u_nc_s_d.png;2d_4u_nc_s_d.png;377.338227761;1
910;20;f;r;n;n;n;1;series1c;19;1;10;0;5;1;6;nc;0;0;1;0;1;1.93443737412;KRDB;-99;-99;1d_6u_nc_s_e.png;1d_6u_nc_d_e.png;385.379329913;1
910;20;f;r;n;n;n;1;series1c;20;0;10;0;5;3;6;nc;0;0;9;0;1;1.55670546764;MVJP;-99;-99;3d_6u_nc_s_e.png;3d_6u_nc_s_e.png;393.637304939;1
910;20;f;r;n;n;n;1;series1c;21;0;-10;0;6;3;6;nc;0;0;9;0;1;1.57214252581;FLRP;FLRP;1;3d_6u_nc_s_f.png;3d_6u_nc_s_f.png;404.36430672;1
910;20;f;r;n;n;n;1;series1c;22;0;-10;0;1;2;6;nc;0;0;1;0;0;1.86368336156;SZPR;-99;-99;2d_6u_nc_s_a.png;2d_6u_nc_s_a.png;412.238443682;1
910;20;f;r;n;n;n;1;series1c;23;1;10;0;3;1;6;nc;0;0;9;0;0;2.50078918971;GNHM;-99;-99;1d_6u_nc_s_c.png;1d_6u_nc_d_c.png;421.364093956;1
910;20;f;r;n;n;n;1;series1c;24;0;-10;0;2;3;6;nc;0;0;9;0;1;1.07637889194;SZFG;-99;-99;3d_6u_nc_s_b.png;3d_6u_nc_s_b.png;428.53790998;1
910;20;f;r;n;n;n;1;series1c;25;1;-10;0;1;2;4;nc;0;0;1;0;1;1.01378927426;JNXY;-99;-99;2d_4u_nc_s_a.png;2d_4u_nc_d_a.png;435.47784082;1
910;20;f;r;n;n;n;1;series1c;26;1;10;0;3;3;6;nc;0;0;1;0;1;2.33942612296;HSMR;HSMR;1;3d_6u_nc_s_c.png;3d_6u_nc_d_c.png;447.255947225;1
910;20;f;r;n;n;n;1;series1c;27;0;-10;0;2;3;4;nc;0;0;9;0;1;1.09316080099;ZTFD;-99;-99;3d_4u_nc_s_b.png;3d_4u_nc_s_b.png;454.345822414;1
910;20;f;r;n;n;n;1;series1c;28;0;-10;0;6;2;6;nc;0;0;9;0;1;1.07362490543;YSBW;-99;-99;2d_6u_nc_s_f.png;2d_6u_nc_s_f.png;461.836476866;1
910;20;f;r;n;n;n;1;series1c;29;0;-10;0;6;3;8;nc;0;0;9;0;1;1.4143529284;XGKF;-99;-99;3d_8u_nc_s_f.png;3d_8u_nc_s_f.png;469.093454916;1
910;20;f;r;n;n;n;1;series1c;30;0;-10;0;3;2;6;nc;0;0;9;0;1;1.23774878541;TRHN;-99;-99;2d_6u_nc_s_c.png;2d_6u_nc_s_c.png;476.367182449;1
910;20;f;r;n;n;n;1;series1c;31;1;10;0;4;3;6;nc;0;0;9;0;0;1.85571267293;HWXG;-99;-99;3d_6u_nc_s_d.png;3d_6u_nc_d_d.png;484.174691826;1
910;20;f;r;n;n;n;1;series1c;32;1;-10;0;2;3;6;nc;0;0;1;0;1;1.0827970854;XNJW;-99;-99;3d_6u_nc_s_b.png;3d_6u_nc_d_b.png;491.34853857;1
910;20;f;r;n;n;n;1;series1c;33;0;-10;0;6;2;8;nc;0;0;9;0;1;1.3790676553;JLRP;-99;-99;2d_8u_nc_s_f.png;2d_8u_nc_s_f.png;499.239469671;1
910;20;f;r;n;n;n;1;series1c;34;0;10;0;5;2;4;nc;0;0;9;0;1;1.06980425422;FWDX;-99;-99;2d_4u_nc_s_e.png;2d_4u_nc_s_e.png;506.49650973;1
910;20;f;r;n;n;n;1;series1c;35;1;10;0;7;2;8;nc;0;0;9;0;0;1.43741905794;MFBC;-99;-99;2d_8u_nc_s_g.png;2d_8u_nc_d_g.png;516.839587829;1
910;20;f;r;n;n;n;1;series1c;36;1;-10;0;6;1;6;nc;0;0;9;0;0;2.76614724356;RZCL;-99;-99;1d_6u_nc_s_f.png;1d_6u_nc_d_f.png;526.148781257;1
910;20;f;r;n;n;n;1;series1c;37;0;10;0;8;1;4;nc;0;0;9;0;1;1.3661109485;YBZH;-99;-99;1d_4u_nc_s_h.png;1d_4u_nc_s_h.png;533.572649974;1
910;20;f;r;n;n;n;1;series1c;38;1;10;0;7;2;4;nc;0;0;1;0;1;1.51655193616;FLDS;-99;-99;2d_4u_nc_s_g.png;2d_4u_nc_d_g.png;541.180001826;1
910;20;f;r;n;n;n;1;series1c;39;0;-10;0;5;1;8;nc;0;0;9;0;1;1.27979187807;NPVT;-99;-99;1d_8u_nc_s_e.png;1d_8u_nc_s_e.png;548.670292758;1
910;20;f;r;n;n;n;1;series1c;40;0;-10;0;2;2;4;nc;0;0;9;0;1;1.26348129252;MZDK;-99;-99;2d_4u_nc_s_b.png;2d_4u_nc_s_b.png;555.893963843;1
