subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
52;19;f;r;n;n;n;1;series1c;0;1;10;0;7;1;4;nc;0;0;1;0;1;1.18359854689;WXZQ;WXZQ;1;1d_4u_nc_s_g.png;1d_4u_nc_d_g.png;218.985473028;1
52;19;f;r;n;n;n;1;series1c;1;1;10;0;1;3;8;nc;0;0;1;0;1;1.55416048062;LNWC;-99;-99;3d_8u_nc_s_a.png;3d_8u_nc_d_a.png;228.093422827;1
52;19;f;r;n;n;n;1;series1c;2;0;-10;0;2;1;4;nc;0;0;9;0;1;1.23851578764;SKCZ;-99;-99;1d_4u_nc_s_b.png;1d_4u_nc_s_b.png;236.499314136;1
52;19;f;r;n;n;n;1;series1c;3;0;10;0;2;3;6;nc;0;0;9;0;1;1.22238964261;BGLD;-99;-99;3d_6u_nc_s_b.png;3d_6u_nc_s_b.png;244.938567372;1
52;19;f;r;n;n;n;1;series1c;4;0;10;0;5;1;6;nc;0;0;9;0;1;0.947592033539;FXNW;FXNW;1;1d_6u_nc_s_e.png;1d_6u_nc_s_e.png;256.536315505;1
52;19;f;r;n;n;n;1;series1c;5;0;-10;0;3;3;8;nc;0;0;9;0;1;1.34943424247;TDBC;-99;-99;3d_8u_nc_s_c.png;3d_8u_nc_s_c.png;264.808627258;1
52;19;f;r;n;n;n;1;series1c;6;0;10;0;8;1;8;nc;0;0;9;0;1;1.88913126895;FXWQ;-99;-99;1d_8u_nc_s_h.png;1d_8u_nc_s_h.png;272.96393215;1
52;19;f;r;n;n;n;1;series1c;7;0;10;0;8;3;4;nc;0;0;9;0;1;0.894376620767;QTLN;-99;-99;3d_4u_nc_s_h.png;3d_4u_nc_s_h.png;280.30016335;1
52;19;f;r;n;n;n;1;series1c;8;1;10;0;4;1;4;nc;0;0;9;0;0;1.63713462825;LPQC;-99;-99;1d_4u_nc_s_d.png;1d_4u_nc_d_d.png;288.396922466;1
52;19;f;r;n;n;n;1;series1c;9;0;-10;0;5;2;8;nc;0;0;9;0;1;1.55775757751;FXPD;-99;-99;2d_8u_nc_s_e.png;2d_8u_nc_s_e.png;296.560529585;1
52;19;f;r;n;n;n;1;series1c;10;0;10;0;1;1;6;nc;0;0;9;0;1;1.05336490402;JHSR;-99;-99;1d_6u_nc_s_a.png;1d_6u_nc_s_a.png;303.771639683;1
52;19;f;r;n;n;n;1;series1c;11;1;10;0;6;1;6;nc;0;0;1;0;1;0.980710154749;VCPW;-99;-99;1d_6u_nc_s_f.png;1d_6u_nc_d_f.png;311.22494447;1
52;19;f;r;n;n;n;1;series1c;12;1;-10;0;8;2;6;nc;0;0;9;0;0;1.24860324978;BCTS;-99;-99;2d_6u_nc_s_h.png;2d_6u_nc_d_h.png;321.168337591;1
52;19;f;r;n;n;n;1;series1c;13;0;10;0;2;2;6;nc;0;0;9;0;1;0.829709717189;SRZF;-99;-99;2d_6u_nc_s_b.png;2d_6u_nc_s_b.png;328.329147681;1
52;19;f;r;n;n;n;1;series1c;14;0;-10;0;3;3;4;nc;0;0;9;0;1;1.47811298212;XMBP;-99;-99;3d_4u_nc_s_c.png;3d_4u_nc_s_c.png;336.108518572;1
52;19;f;r;n;n;n;1;series1c;15;0;-10;0;5;2;4;nc;0;0;9;0;1;0.76199331705;CGLV;-99;-99;2d_4u_nc_s_e.png;2d_4u_nc_s_e.png;343.001908422;1
52;19;f;r;n;n;n;1;series1c;16;1;-10;0;7;2;4;nc;0;0;1;0;1;1.10625246202;JYCK;JYCK;1;2d_4u_nc_s_g.png;2d_4u_nc_d_g.png;357.047984817;1
52;19;f;r;n;n;n;1;series1c;17;0;10;0;4;2;4;nc;0;0;9;0;1;0.90564333275;WYHX;WYHX;1;2d_4u_nc_s_d.png;2d_4u_nc_s_d.png;369.748754345;1
52;19;f;r;n;n;n;1;series1c;18;0;10;0;7;1;4;nc;0;0;9;0;1;0.570642068749;BLVY;BLVY;1;1d_4u_nc_s_g.png;1d_4u_nc_s_g.png;381.572183178;1
52;19;f;r;n;n;n;1;series1c;19;1;10;0;6;3;6;nc;0;0;1;0;1;1.25714479107;QJZX;-99;-99;3d_6u_nc_s_f.png;3d_6u_nc_d_f.png;389.719151197;1
52;19;f;r;n;n;n;1;series1c;20;0;10;0;7;1;8;nc;0;0;-1;1;-99999;-1;RMYG;-99;-99;1d_8u_nc_s_g.png;1d_8u_nc_s_g.png;399.077527656;1
52;19;f;r;n;n;n;1;series1c;21;0;10;0;2;2;8;nc;0;0;9;0;1;1.1456915678;JHLS;-99;-99;2d_8u_nc_s_b.png;2d_8u_nc_s_b.png;408.001520899;1
52;19;f;r;n;n;n;1;series1c;22;1;10;0;1;2;4;nc;0;0;1;0;1;0.787879711483;SLZY;-99;-99;2d_4u_nc_s_a.png;2d_4u_nc_d_a.png;415.103856429;1
52;19;f;r;n;n;n;1;series1c;23;0;10;0;3;3;6;nc;0;0;9;0;1;1.46442617755;YGQZ;-99;-99;3d_6u_nc_s_c.png;3d_6u_nc_s_c.png;423.000125111;1
52;19;f;r;n;n;n;1;series1c;24;1;10;0;7;3;6;nc;0;0;1;0;1;1.6288195696;VNWM;-99;-99;3d_6u_nc_s_g.png;3d_6u_nc_d_g.png;431.138735405;1
