subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
50;18;m;r;c;n;n;1;series1c;0;1;10;0;6;1;4;nc;0;0;9;0;0;1.06060433027;LVND;LVND;1;1d_4u_nc_s_f.png;1d_4u_nc_d_f.png;247.73467264;1
50;18;m;r;c;n;n;1;series1c;1;0;10;0;4;1;8;nc;0;0;1;0;0;1.96873897256;XWTZ;-99;-99;1d_8u_nc_s_d.png;1d_8u_nc_s_d.png;259.524775474;1
50;18;m;r;c;n;n;1;series1c;2;0;10;0;8;3;4;nc;0;0;9;0;1;1.48822674959;PYKB;-99;-99;3d_4u_nc_s_h.png;3d_4u_nc_s_h.png;268.640790431;1
50;18;m;r;c;n;n;1;series1c;3;0;-10;0;1;1;6;nc;0;0;1;0;0;1.61539998895;FCGX;-99;-99;1d_6u_nc_s_a.png;1d_6u_nc_s_a.png;277.238946618;1
50;18;m;r;c;n;n;1;series1c;4;1;-10;0;2;3;8;nc;0;0;9;0;0;1.62915127375;CQRV;-99;-99;3d_8u_nc_s_b.png;3d_8u_nc_d_b.png;285.385908863;1
50;18;m;r;c;n;n;1;series1c;5;0;-10;0;7;2;6;nc;0;0;9;0;1;1.2116714936;SLHB;-99;-99;2d_6u_nc_s_g.png;2d_6u_nc_s_g.png;293.265373235;1
50;18;m;r;c;n;n;1;series1c;6;0;10;0;8;3;8;nc;0;0;1;0;0;1.68528754322;TPQW;-99;-99;3d_8u_nc_s_h.png;3d_8u_nc_s_h.png;301.39543493;1
50;18;m;r;c;n;n;1;series1c;7;1;10;0;2;2;8;nc;0;0;9;0;0;1.37191313074;PLDT;-99;-99;2d_8u_nc_s_b.png;2d_8u_nc_d_b.png;309.00760321;1
50;18;m;r;c;n;n;1;series1c;8;1;-10;0;7;2;6;nc;0;0;1;0;1;2.28848890495;RHZC;-99;-99;2d_6u_nc_s_g.png;2d_6u_nc_d_g.png;317.898213032;1
50;18;m;r;c;n;n;1;series1c;9;1;10;0;3;3;4;nc;0;0;9;0;0;1.20962416707;JCGR;-99;-99;3d_4u_nc_s_c.png;3d_4u_nc_d_c.png;325.23454785;1
50;18;m;r;c;n;n;1;series1c;10;0;-10;0;4;2;4;nc;0;0;9;0;1;1.7847294847;KVQT;-99;-99;2d_4u_nc_s_d.png;2d_4u_nc_s_d.png;334.283869749;1
50;18;m;r;c;n;n;1;series1c;11;1;10;0;1;1;6;nc;0;0;1;0;1;1.10388337611;QGCL;QGCL;1;1d_6u_nc_s_a.png;1d_6u_nc_d_a.png;346.433106765;1
50;18;m;r;c;n;n;1;series1c;12;0;-10;0;6;3;4;nc;0;0;9;0;1;2.43429178919;QMBR;-99;-99;3d_4u_nc_s_f.png;3d_4u_nc_s_f.png;355.557569591;1
50;18;m;r;c;n;n;1;series1c;13;0;-10;0;7;1;8;nc;0;0;9;0;1;1.45428257599;SYWB;-99;-99;1d_8u_nc_s_g.png;1d_8u_nc_s_g.png;363.127954059;1
50;18;m;r;c;n;n;1;series1c;14;1;-10;0;4;1;6;nc;0;0;1;0;1;1.33931245503;KGRB;-99;-99;1d_6u_nc_s_d.png;1d_6u_nc_d_d.png;370.405841265;1
50;18;m;r;c;n;n;1;series1c;15;1;-10;0;8;1;6;nc;0;0;9;0;0;1.95229331369;MSWY;-99;-99;1d_6u_nc_s_h.png;1d_6u_nc_d_h.png;378.410720587;1
50;18;m;r;c;n;n;1;series1c;16;0;10;0;1;3;4;nc;0;0;9;0;1;1.39699175803;VGSD;-99;-99;3d_4u_nc_s_a.png;3d_4u_nc_s_a.png;386.014453509;1
50;18;m;r;c;n;n;1;series1c;17;1;10;0;7;3;6;nc;0;0;1;0;1;1.66451176628;PVZF;-99;-99;3d_6u_nc_s_g.png;3d_6u_nc_d_g.png;393.710165993;1
50;18;m;r;c;n;n;1;series1c;18;1;10;0;3;2;6;nc;0;0;9;0;0;1.55905808869;SYDK;-99;-99;2d_6u_nc_s_c.png;2d_6u_nc_d_c.png;401.338917233;1
50;18;m;r;c;n;n;1;series1c;19;1;10;0;4;3;4;nc;0;0;9;0;0;1.15143896709;CBMS;-99;-99;3d_4u_nc_s_d.png;3d_4u_nc_d_d.png;408.992740043;1
50;18;m;r;c;n;n;1;series1c;20;0;10;0;1;2;4;nc;0;0;9;0;1;2.27325714182;VWDR;-99;-99;2d_4u_nc_s_a.png;2d_4u_nc_s_a.png;418.159095109;1
50;18;m;r;c;n;n;1;series1c;21;1;10;0;8;2;4;nc;0;0;9;0;0;1.45648131869;JZXW;-99;-99;2d_4u_nc_s_h.png;2d_4u_nc_d_h.png;425.620864125;1
50;18;m;r;c;n;n;1;series1c;22;0;-10;0;2;3;4;nc;0;0;9;0;1;1.54728708381;BFGM;-99;-99;3d_4u_nc_s_b.png;3d_4u_nc_s_b.png;433.157699962;1
50;18;m;r;c;n;n;1;series1c;23;1;-10;0;5;3;8;nc;0;0;9;0;0;1.31320984359;NYPZ;-99;-99;3d_8u_nc_s_e.png;3d_8u_nc_d_e.png;440.485770407;1
50;18;m;r;c;n;n;1;series1c;24;0;-10;0;7;3;6;nc;0;0;9;0;1;1.00084273366;GXCN;-99;-99;3d_6u_nc_s_g.png;3d_6u_nc_s_g.png;447.688353721;1
50;18;m;r;c;n;n;1;series1c;25;0;-10;0;5;3;4;nc;0;0;9;0;1;0.854733809014;QXZM;-99;-99;3d_4u_nc_s_e.png;3d_4u_nc_s_e.png;454.548493281;1
50;18;m;r;c;n;n;1;series1c;26;0;-10;0;8;2;4;nc;0;0;9;0;1;0.773542972049;HCSP;HCSP;1;2d_4u_nc_s_h.png;2d_4u_nc_s_h.png;464.667328043;1
50;18;m;r;c;n;n;1;series1c;27;1;10;0;1;2;4;nc;0;0;1;0;1;0.633137176628;TKYL;-99;-99;2d_4u_nc_s_a.png;2d_4u_nc_d_a.png;471.54407751;1
50;18;m;r;c;n;n;1;series1c;28;1;-10;0;1;2;6;nc;0;0;9;0;0;1.26502035768;MDRP;-99;-99;2d_6u_nc_s_a.png;2d_6u_nc_d_a.png;478.746863888;1
50;18;m;r;c;n;n;1;series1c;29;1;10;0;8;3;8;nc;0;0;9;0;0;0.805050371564;JZCS;-99;-99;3d_8u_nc_s_h.png;3d_8u_nc_d_h.png;485.715533569;1
50;18;m;r;c;n;n;1;series1c;30;0;-10;0;5;3;6;nc;0;0;9;0;1;0.804660603171;LFVB;-99;-99;3d_6u_nc_s_e.png;3d_6u_nc_s_e.png;492.484181179;1
50;18;m;r;c;n;n;1;series1c;31;0;10;0;3;1;8;nc;0;0;9;0;1;1.2322169384;VHQF;-99;-99;1d_8u_nc_s_c.png;1d_8u_nc_s_c.png;499.778378025;1
50;18;m;r;c;n;n;1;series1c;32;0;-10;0;6;1;6;nc;0;0;9;0;1;0.716001611669;YMTR;-99;-99;1d_6u_nc_s_f.png;1d_6u_nc_s_f.png;506.496394242;1
50;18;m;r;c;n;n;1;series1c;33;1;10;0;3;1;8;nc;0;0;9;0;0;1.1849997883;CZTF;CZTF;1;1d_8u_nc_s_c.png;1d_8u_nc_d_c.png;517.626166578;1
50;18;m;r;c;n;n;1;series1c;34;1;-10;0;2;3;4;nc;0;0;1;0;1;0.665758704185;RKTV;-99;-99;3d_4u_nc_s_b.png;3d_4u_nc_d_b.png;524.904116981;1
50;18;m;r;c;n;n;1;series1c;35;0;-10;0;3;1;6;nc;0;0;9;0;1;0.96892375173;JQNZ;-99;-99;1d_6u_nc_s_c.png;1d_6u_nc_s_c.png;531.806067619;1
50;18;m;r;c;n;n;1;series1c;36;0;-10;0;5;2;8;nc;0;0;9;0;1;1.2910017079;QPLY;-99;-99;2d_8u_nc_s_e.png;2d_8u_nc_s_e.png;539.025331095;1
50;18;m;r;c;n;n;1;series1c;37;0;10;0;2;2;8;nc;0;0;1;0;0;0.893008421524;XSKM;-99;-99;2d_8u_nc_s_b.png;2d_8u_nc_s_b.png;545.910582965;1
50;18;m;r;c;n;n;1;series1c;38;0;-10;0;7;2;8;nc;0;0;9;0;1;1.08250450075;DNLR;-99;-99;2d_8u_nc_s_g.png;2d_8u_nc_s_g.png;553.288629414;1
50;18;m;r;c;n;n;1;series1c;39;1;10;0;6;3;4;nc;0;0;1;0;1;0.662867681473;CTQB;CTQB;1;3d_4u_nc_s_f.png;3d_4u_nc_d_f.png;563.783443409;1
50;18;m;r;c;n;n;1;series1c;40;0;-10;0;1;3;6;nc;0;0;9;0;1;0.677892851178;CRWJ;-99;-99;3d_6u_nc_s_a.png;3d_6u_nc_s_a.png;571.028056907;1
50;18;m;r;c;n;n;1;series1c;41;0;-10;0;1;1;4;nc;0;0;9;0;1;0.546644848189;BLCY;-99;-99;1d_4u_nc_s_a.png;1d_4u_nc_s_a.png;577.54554676;1
50;18;m;r;c;n;n;1;series1c;42;1;10;0;6;3;6;nc;0;0;9;0;0;0.683693182073;BJYZ;-99;-99;3d_6u_nc_s_f.png;3d_6u_nc_d_f.png;584.230270021;1
50;18;m;r;c;n;n;1;series1c;43;0;10;0;2;2;6;nc;0;0;9;0;1;0.784096231335;MKRQ;MKRQ;1;2d_6u_nc_s_b.png;2d_6u_nc_s_b.png;595.468634072;1
50;18;m;r;c;n;n;1;series1c;44;0;10;0;1;2;6;nc;0;0;9;0;1;0.619773093844;HTKW;-99;-99;2d_6u_nc_s_a.png;2d_6u_nc_s_a.png;602.387273533;1
50;18;m;r;c;n;n;1;series1c;45;0;-10;0;6;3;8;nc;0;0;9;0;1;0.685906681465;SVFN;-99;-99;3d_8u_nc_s_f.png;3d_8u_nc_s_f.png;609.163691167;1
50;18;m;r;c;n;n;1;series1c;46;1;-10;0;8;1;8;nc;0;0;1;0;1;0.682256011409;NWZP;-99;-99;1d_8u_nc_s_h.png;1d_8u_nc_d_h.png;615.815053143;1
50;18;m;r;c;n;n;1;series1c;47;0;-10;0;3;2;6;nc;0;0;9;0;1;0.849003091222;HXWT;-99;-99;2d_6u_nc_s_c.png;2d_6u_nc_s_c.png;622.58316438;1
50;18;m;r;c;n;n;1;series1c;48;0;-10;0;7;3;4;nc;0;0;9;0;1;0.466615937999;YZKQ;-99;-99;3d_4u_nc_s_g.png;3d_4u_nc_s_g.png;628.925133676;1
50;18;m;r;c;n;n;1;series1c;49;0;-10;0;2;1;4;nc;0;0;1;0;0;1.2181493477;TNBP;-99;-99;1d_4u_nc_s_b.png;1d_4u_nc_s_b.png;636.2615596;1
50;18;m;r;c;n;n;1;series1c;50;1;10;0;8;2;6;nc;0;0;9;0;0;0.834623685922;MJNY;-99;-99;2d_6u_nc_s_h.png;2d_6u_nc_d_h.png;643.196841048;1
50;18;m;r;c;n;n;1;series1c;51;1;10;0;8;1;4;nc;0;0;1;0;1;0.499618572299;VDWT;-99;-99;1d_4u_nc_s_h.png;1d_4u_nc_d_h.png;649.78114137;1
50;18;m;r;c;n;n;1;series1c;52;0;10;0;4;1;4;nc;0;0;9;0;1;0.66048640525;RCDY;-99;-99;1d_4u_nc_s_d.png;1d_4u_nc_s_d.png;656.315432967;1
50;18;m;r;c;n;n;1;series1c;53;1;10;0;3;2;8;nc;0;0;9;0;0;1.05819321983;XDWZ;-99;-99;2d_8u_nc_s_c.png;2d_8u_nc_d_c.png;663.334210179;1
50;18;m;r;c;n;n;1;series1c;54;0;-10;0;2;2;4;nc;0;0;9;0;1;0.773857353139;GWPH;GWPH;1;2d_4u_nc_s_b.png;2d_4u_nc_s_b.png;673.778950647;1
50;18;m;r;c;n;n;1;series1c;55;0;10;0;3;3;4;nc;0;0;9;0;1;0.654856417677;JMQC;JMQC;1;3d_4u_nc_s_c.png;3d_4u_nc_s_c.png;687.181617946;1
50;18;m;r;c;n;n;1;series1c;56;1;-10;0;2;1;8;nc;0;0;1;0;1;0.979230638943;VXGS;-99;-99;1d_8u_nc_s_b.png;1d_8u_nc_d_b.png;694.22560435;1
50;18;m;r;c;n;n;1;series1c;57;0;-10;0;6;1;4;nc;0;0;1;0;0;0.752422338235;MGWF;MGWF;1;1d_4u_nc_s_f.png;1d_4u_nc_s_f.png;705.413917329;1
50;18;m;r;c;n;n;1;series1c;58;0;10;0;3;3;8;nc;0;0;9;0;1;0.625402760692;SLQK;-99;-99;3d_8u_nc_s_c.png;3d_8u_nc_s_c.png;713.444320866;1
50;18;m;r;c;n;n;1;series1c;59;0;-10;0;5;1;4;nc;0;0;9;0;1;0.734382959781;YQMF;-99;-99;1d_4u_nc_s_e.png;1d_4u_nc_s_e.png;720.203661513;1
50;18;m;r;c;n;n;1;series1c;60;1;-10;0;3;2;4;nc;0;0;1;0;1;1.3886433366;WZJF;-99;-99;2d_4u_nc_s_c.png;2d_4u_nc_d_c.png;727.657090448;1
50;18;m;r;c;n;n;1;series1c;61;1;-10;0;5;1;8;nc;0;0;9;0;0;1.14081449073;JVSX;JVSX;1;1d_8u_nc_s_e.png;1d_8u_nc_d_e.png;738.795311937;1
50;18;m;r;c;n;n;1;series1c;62;0;-10;0;3;3;6;nc;0;0;9;0;1;0.379171163193;YFBP;-99;-99;3d_6u_nc_s_c.png;3d_6u_nc_s_c.png;745.087159586;1
50;18;m;r;c;n;n;1;series1c;63;1;-10;0;8;2;8;nc;0;0;1;0;1;0.74555567815;LDGS;-99;-99;2d_8u_nc_s_h.png;2d_8u_nc_d_h.png;751.880352979;1
50;18;m;r;c;n;n;1;series1c;64;1;10;0;4;2;6;nc;0;0;1;0;1;0.654250432039;WVGR;-99;-99;2d_6u_nc_s_d.png;2d_6u_nc_d_d.png;758.439730582;1
50;18;m;r;c;n;n;1;series1c;65;1;-10;0;5;2;4;nc;0;0;1;0;1;0.612704652362;MGWD;MGWB;0;2d_4u_nc_s_e.png;2d_4u_nc_d_e.png;769.811908691;1
50;18;m;r;c;n;n;1;series1c;66;0;-10;0;5;1;8;nc;0;0;9;0;1;1.624403478;WBYF;-99;-99;1d_8u_nc_s_e.png;1d_8u_nc_s_e.png;778.702451146;1
50;18;m;r;c;n;n;1;series1c;67;0;-10;0;8;1;6;nc;0;0;9;0;1;1.30811943661;PTCG;-99;-99;1d_6u_nc_s_h.png;1d_6u_nc_s_h.png;785.997039044;1
50;18;m;r;c;n;n;1;series1c;68;0;-10;0;5;3;8;nc;0;0;1;0;0;0.92240754317;BMPW;-99;-99;3d_8u_nc_s_e.png;3d_8u_nc_s_e.png;792.790236928;1
