subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
35;19;m;r;c;n;n;1;series1c;0;0;-10;0;7;2;4;nc;0;0;9;0;1;0.589855277503;FPNL;-99;-99;2d_4u_nc_s_g.png;2d_4u_nc_s_g.png;175.551343238;1
35;19;m;r;c;n;n;1;series1c;1;1;10;0;2;3;8;nc;0;0;9;0;0;1.14190748321;JSCG;-99;-99;3d_8u_nc_s_b.png;3d_8u_nc_d_b.png;183.614743904;1
35;19;m;r;c;n;n;1;series1c;2;0;-10;0;7;3;6;nc;0;0;1;0;0;0.878764227076;RWYD;-99;-99;3d_6u_nc_s_g.png;3d_6u_nc_s_g.png;192.538785201;1
35;19;m;r;c;n;n;1;series1c;3;1;10;0;1;2;4;nc;0;0;1;0;1;0.655041516322;TVSW;-99;-99;2d_4u_nc_s_a.png;2d_4u_nc_d_a.png;199.816784063;1
35;19;m;r;c;n;n;1;series1c;4;0;-10;0;4;3;4;nc;0;0;9;0;1;0.62621699489;BSRK;-99;-99;3d_4u_nc_s_d.png;3d_4u_nc_s_d.png;207.420555966;1
35;19;m;r;c;n;n;1;series1c;5;0;10;0;5;1;4;nc;0;0;9;0;1;0.972877322551;MHLD;-99;-99;1d_4u_nc_s_e.png;1d_4u_nc_s_e.png;216.152469182;1
35;19;m;r;c;n;n;1;series1c;6;0;-10;0;4;1;6;nc;0;0;9;0;1;0.710651233618;QHKT;-99;-99;1d_6u_nc_s_d.png;1d_6u_nc_s_d.png;223.73971443;1
35;19;m;r;c;n;n;1;series1c;7;1;10;0;6;2;4;nc;0;0;1;0;1;0.565487951229;FLRG;FLRG;1;2d_4u_nc_s_f.png;2d_4u_nc_d_f.png;234.869566891;1
35;19;m;r;c;n;n;1;series1c;8;1;10;0;8;2;8;nc;0;0;9;0;0;0.729680127115;DLYF;-99;-99;2d_8u_nc_s_h.png;2d_8u_nc_d_h.png;241.905210658;1
35;19;m;r;c;n;n;1;series1c;9;1;-10;0;2;2;8;nc;0;0;1;0;1;0.668124702657;TCRY;TCRY;1;2d_8u_nc_s_b.png;2d_8u_nc_d_b.png;254.204952061;1
35;19;m;r;c;n;n;1;series1c;10;1;10;0;7;3;8;nc;0;0;1;0;1;0.915682211664;HYTG;-99;-99;3d_8u_nc_s_g.png;3d_8u_nc_d_g.png;261.574876163;1
35;19;m;r;c;n;n;1;series1c;11;0;-10;0;1;1;6;nc;0;0;9;0;1;0.444829939108;LGQF;-99;-99;1d_6u_nc_s_a.png;1d_6u_nc_s_a.png;268.217845976;1
