subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
28;18;f;r;n;n;n;1;series1c;0;1;10;0;6;2;6;nc;0;0;1;0;1;1.98737274716;NCTR;-99;-99;2d_6u_nc_s_f.png;2d_6u_nc_d_f.png;224.664685204;1
28;18;f;r;n;n;n;1;series1c;1;0;10;0;1;3;8;nc;0;0;9;0;1;1.16140825208;PDYH;-99;-99;3d_8u_nc_s_a.png;3d_8u_nc_s_a.png;233.47170465;1
28;18;f;r;n;n;n;1;series1c;2;0;10;0;7;3;8;nc;0;0;9;0;1;1.20552311605;SZJT;-99;-99;3d_8u_nc_s_g.png;3d_8u_nc_s_g.png;241.117324506;1
28;18;f;r;n;n;n;1;series1c;3;1;10;0;5;3;4;nc;0;0;1;0;1;1.00747459428;FQHT;-99;-99;3d_4u_nc_s_e.png;3d_4u_nc_d_e.png;248.946725711;1
28;18;f;r;n;n;n;1;series1c;4;0;-10;0;7;1;6;nc;0;0;9;0;1;1.09185923636;RJLC;-99;-99;1d_6u_nc_s_g.png;1d_6u_nc_s_g.png;256.065835137;1
28;18;f;r;n;n;n;1;series1c;5;0;10;0;5;3;6;nc;0;0;9;0;1;0.856288251001;WNVY;WNVY;1;3d_6u_nc_s_e.png;3d_6u_nc_s_e.png;268.165008248;1
28;18;f;r;n;n;n;1;series1c;6;0;-10;0;8;2;6;nc;0;0;9;0;1;0.96977087995;QJZG;-99;-99;2d_6u_nc_s_h.png;2d_6u_nc_s_h.png;275.342681282;1
28;18;f;r;n;n;n;1;series1c;7;1;-10;0;1;2;8;nc;0;0;9;0;0;0.889942853246;GTQY;-99;-99;2d_8u_nc_s_a.png;2d_8u_nc_d_a.png;282.954779987;1
28;18;f;r;n;n;n;1;series1c;8;0;10;0;1;2;8;nc;0;0;9;0;1;0.777311622631;XZRP;-99;-99;2d_8u_nc_s_a.png;2d_8u_nc_s_a.png;290.750802476;1
28;18;f;r;n;n;n;1;series1c;9;1;10;0;2;1;4;nc;0;0;1;0;1;0.760287512094;MHFC;MHFC;1;1d_4u_nc_s_b.png;1d_4u_nc_d_b.png;301.162071662;1
