instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,struc_judge_respond.rt,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining,connected,dimensionality
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,0,0.467405,0,1,1,7,1,Stimuli/testStimuliSquare/6u_s_10_2D.png,Stimuli/testStimuliSquare/6u_d_10_2D.png,1,1,0.60737,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.71958,0,2,2,4,1,Stimuli/testStimuliSquare/6u_s_9_2D.png,Stimuli/testStimuliSquare/6u_s_9_2D.png,0,9,0.755695,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.75134,0,3,3,5,1,Stimuli/testStimuliSquare/6u_s_9_2D.png,Stimuli/testStimuliSquare/6u_d_9_2D.png,1,1,0.58518,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.501175,0,4,4,6,1,Stimuli/testStimuliSquare/6u_s_10_2D.png,Stimuli/testStimuliSquare/6u_s_10_2D.png,0,9,0.727215,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,0.6343,0,5,5,1,1,Stimuli/testStimuliSquare/6u_s_7_2D.png,Stimuli/testStimuliSquare/6u_d_7_2D.png,1,1,0.601795,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,0,0.46988,0,6,6,14,1,Stimuli/testStimuliSquare/6u_s_8_s_2D.png,Stimuli/testStimuliSquare/6u_s_8_s_2D.png,0,9,0.6395,,,,,,,,,s,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,2.00156,0,7,7,3,1,Stimuli/testStimuliSquare/6u_s_8_2D.png,Stimuli/testStimuliSquare/6u_d_8_2D.png,1,1,0.60577,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,2.36884,0,8,8,11,1,Stimuli/testStimuliSquare/6u_s_12_2D.png,Stimuli/testStimuliSquare/6u_d_12_2D.png,1,1,0.6432,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.918905,0,9,9,15,1,Stimuli/testStimuliSquare/6u_s_8_s_2D.png,Stimuli/testStimuliSquare/6u_d_8_s_2D.png,1,1,0.745665,,,,,,,,,s,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.6394,0,10,10,19,1,Stimuli/testStimuliSquare/6u_s_10_s_2D.png,Stimuli/testStimuliSquare/6u_d_10_s_2D.png,1,1,0.69634,,,,,,,,,s,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,0,1,1,0.818425,0,11,11,10,1,Stimuli/testStimuliSquare/6u_s_12_2D.png,Stimuli/testStimuliSquare/6u_s_12_2D.png,0,9,0.783865,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.873445,0,12,12,21,1,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,Stimuli/testStimuliSquare/6u_d_11_s_2D.png,1,1,0.66235,,,,,,,,,s,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.405215,0,13,13,8,1,Stimuli/testStimuliSquare/6u_s_11_2D.png,Stimuli/testStimuliSquare/6u_s_11_2D.png,0,9,0.73893,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.55514,0,14,14,16,1,Stimuli/testStimuliSquare/6u_s_9_s_2D.png,Stimuli/testStimuliSquare/6u_s_9_s_2D.png,0,9,0.687155,,,,,,,,,s,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.80101,0,15,15,18,1,Stimuli/testStimuliSquare/6u_s_10_s_2D.png,Stimuli/testStimuliSquare/6u_s_10_s_2D.png,0,9,0.788575,,,,,,,,,s,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.465,0,16,16,13,1,Stimuli/testStimuliSquare/6u_s_7_s_2D.png,Stimuli/testStimuliSquare/6u_d_7_s_2D.png,1,1,0.61364,,,,,,,,,s,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.466485,0,17,17,9,1,Stimuli/testStimuliSquare/6u_s_11_2D.png,Stimuli/testStimuliSquare/6u_d_11_2D.png,1,1,0.6731,,,,,,,,,c,2D
,,,,,,,20,female,B,2020-05-25_00h05.01.042,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,1,0.655225,0,18,18,23,1,Stimuli/testStimuliSquare/6u_s_12_s_2D.png,Stimuli/testStimuliSquare/6u_d_12_s_2D.png,1,1,0.61197,,,,,,,,,s,2D
