instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining,connected,dimensionality
0,0,0,0,1,Instructions/consent.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_1.png,5,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_2.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_3.png,5,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_4.png,1,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_5.png,1,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_6.png,1,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_7.png,1,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_8.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_9.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_10.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_11.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_12.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_13.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_14.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,15,15,1,Instructions/instr_15.png,3,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,16,16,16,1,Instructions/instr_16.png,5,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.77949,1,1,0.885405,0,0,0,2,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_s.png,0,9,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.677335,9,0,1.099985,0,1,1,7,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_s.png,0,9,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.764215,1,1,0.68581,0,2,2,5,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_s.png,0,9,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.82342,1,1,1.768165,0,3,3,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.23277,1,1,1.202165,0,4,4,6,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_d.png,1,1,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.982135,1,1,0.751925,0,5,5,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.89464,1,1,0.835485,0,6,6,4,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_d.png,1,1,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.850595,9,1,1.685555,0,7,7,3,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_d.png,1,1,,,,,,,,,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,0,0,0,1,Stimuli/practiceListCubes.xlsx,Instructions/instr_practice_B.png,Practice trials completed,,
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.574525,1,1,0.940155,0,0,0,22,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_s_6_s.png,0,9,,,,,,,,,s,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.733865,9,1,0.852335,0,1,1,5,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_d_3.png,1,1,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.846085,1,1,0.93605,0,2,2,7,1,Stimuli/testStimuliCube/6u_s_4.png,Stimuli/testStimuliCube/6u_d_4.png,1,1,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.080945,1,1,0.73352,0,3,3,20,1,Stimuli/testStimuliCube/6u_s_5_s.png,Stimuli/testStimuliCube/6u_s_5_s.png,0,9,,,,,,,,,s,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.633865,1,1,0.551185,0,4,4,8,1,Stimuli/testStimuliCube/6u_s_5.png,Stimuli/testStimuliCube/6u_s_5.png,0,9,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.62374,1,1,1.57891,0,5,5,11,1,Stimuli/testStimuliCube/6u_s_6.png,Stimuli/testStimuliCube/6u_d_6.png,1,1,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.668585,9,1,0.78403,0,6,6,13,1,Stimuli/testStimuliCube/6u_s_1_s.png,Stimuli/testStimuliCube/6u_d_1_s.png,1,1,,,,,,,,,s,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.52364,9,1,1.43728,0,7,7,18,1,Stimuli/testStimuliCube/6u_s_4_s.png,Stimuli/testStimuliCube/6u_s_4_s.png,0,9,,,,,,,,,s,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.75541,9,1,0.85237,0,8,8,4,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_s_3.png,0,9,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.543075,1,1,0.584885,0,9,9,1,1,Stimuli/testStimuliCube/6u_s_1.png,Stimuli/testStimuliCube/6u_d_1.png,1,1,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.61375,9,1,0.83848,0,10,10,6,1,Stimuli/testStimuliCube/6u_s_4.png,Stimuli/testStimuliCube/6u_s_4.png,0,9,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.568635,1,1,0.417145,0,11,11,2,1,Stimuli/testStimuliCube/6u_s_2.png,Stimuli/testStimuliCube/6u_s_2.png,0,9,,,,,,,,,c,3D
,,,,,,,20,female,B,2020-05-21_06h53.11.279,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.78262,1,1,0.65115,0,12,12,23,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_d_6_s.png,1,1,,,,,,,,,s,3D
