subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
218;19;f;r;i;n;n;1;series1c;0;0;0;0;6;0;8;nc;0;0;9;0;1;0.933412333019;CLXW;-99;-99;8u_s_7.png;8u_s_7.png;247.339674555;1;2;cubes
218;19;f;r;i;n;n;1;series1c;1;1;0;0;18;0;8;nc;0;0;9;0;0;1.32502195193;LTPB;-99;-99;8u_s_19.png;8u_d_19.png;255.747796477;1;2;cubes
218;19;f;r;i;n;n;1;series1c;2;1;0;0;11;0;6;nc;0;0;9;0;0;1.39030316379;MPNF;-99;-99;6u_s_12.png;6u_d_12.png;266.141187858;1;2;cubes
218;19;f;r;i;n;n;1;series1c;3;1;0;0;10;0;6;nc;0;0;1;0;1;2.09866905445;BQKX;-99;-99;6u_s_11.png;6u_d_11.png;279.437332978;1;2;cubes
218;19;f;r;i;n;n;1;series1c;4;1;0;0;4;0;8;nc;0;0;9;0;0;1.65899225185;GLMX;-99;-99;8u_s_5.png;8u_d_5.png;291.899208419;1;2;cubes
218;19;f;r;i;n;n;1;series1c;5;0;0;0;4;0;6;nc;0;0;9;0;1;0.757955707144;KFTL;KFTL;1;6u_s_5.png;6u_s_5.png;308.081746866;1;2;cubes
218;19;f;r;i;n;n;1;series1c;6;0;0;0;19;0;8;nc;0;0;9;0;1;1.24689151673;YWSZ;-99;-99;8u_s_20.png;8u_s_20.png;316.406470151;1;2;cubes
218;19;f;r;i;n;n;1;series1c;7;1;0;0;12;0;8;nc;0;0;1;0;1;1.57031318219;VHTZ;-99;-99;8u_s_13.png;8u_d_13.png;325.064843736;1;2;cubes
218;19;f;r;i;n;n;1;series1c;8;0;0;0;3;0;8;nc;0;0;9;0;1;0.790565592702;SDJK;-99;-99;8u_s_4.png;8u_s_4.png;335.908444625;1;2;cubes
218;19;f;r;i;n;n;1;series1c;9;1;0;0;7;0;6;nc;0;0;9;0;0;1.24748515291;CZRB;-99;-99;6u_s_8.png;6u_d_8.png;350.406017884;1;2;cubes
218;19;f;r;i;n;n;1;series1c;10;1;0;0;3;0;8;nc;0;0;9;0;0;2.17128695035;GXZL;-99;-99;8u_s_4.png;8u_d_4.png;360.432391603;1;2;cubes
218;19;f;r;i;n;n;1;series1c;11;1;0;0;15;0;4;nc;0;0;1;0;1;1.02348347567;LQHG;-99;-99;4u_s_16.png;4u_d_16.png;372.861088268;1;2;cubes
218;19;f;r;i;n;n;1;series1c;12;0;0;0;7;0;8;nc;0;0;1;0;0;0.519393586554;QRNH;-99;-99;8u_s_8.png;8u_s_8.png;380.56853142;1;2;cubes
218;19;f;r;i;n;n;1;series1c;13;0;0;0;21;0;8;nc;0;0;1;0;0;0.932103318162;WNJR;-99;-99;8u_s_22.png;8u_s_22.png;388.693050531;1;2;cubes
218;19;f;r;i;n;n;1;series1c;14;1;0;0;22;0;6;nc;0;0;9;0;0;0.852887156885;GRDY;-99;-99;6u_s_23.png;6u_d_23.png;397.784969711;1;2;cubes
218;19;f;r;i;n;n;1;series1c;15;1;0;0;16;0;8;nc;0;0;1;0;1;1.99664013833;BYTK;BYTK;1;8u_s_17.png;8u_d_17.png;412.88313416;1;2;cubes
218;19;f;r;i;n;n;1;series1c;16;0;0;0;8;0;6;nc;0;0;9;0;1;1.06735851197;TZWR;-99;-99;6u_s_9.png;6u_s_9.png;421.291269167;1;2;cubes
218;19;f;r;i;n;n;1;series1c;17;0;0;0;23;0;6;nc;0;0;1;0;0;2.1554123722;WDYH;WDYH;1;6u_s_24.png;6u_s_24.png;439.959326105;1;2;cubes
218;19;f;r;i;n;n;1;series1c;18;1;0;0;0;0;4;nc;0;0;1;0;1;1.07490084972;WGTZ;-99;-99;4u_s_1.png;4u_d_1.png;449.45186583;1;2;cubes
218;19;f;r;i;n;n;1;series1c;19;0;0;0;20;0;6;nc;0;0;1;0;0;0.996911214199;MSHC;-99;-99;6u_s_21.png;6u_s_21.png;456.942110085;1;2;cubes
218;19;f;r;i;n;n;1;series1c;20;0;0;0;2;0;8;nc;0;0;1;0;0;1.58738953946;NXRC;NXRC;1;8u_s_3.png;8u_s_3.png;470.955966812;1;2;cubes
218;19;f;r;i;n;n;1;series1c;21;1;0;0;0;0;6;nc;0;0;9;0;0;1.05264190864;LYWH;-99;-99;6u_s_1.png;6u_d_1.png;479.297414881;1;2;cubes
