subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
213;21;f;r;n;n;n;1;series1c;0;1;0;0;2;0;6;nc;0;0;1;0;1;1.13953466527;WJSD;WJSD;1;6u_s_3.png;6u_d_3.png;231.554894569;1;1;simple
213;21;f;r;n;n;n;1;series1c;1;1;0;0;15;0;4;nc;0;0;9;0;0;1.11152083799;LBQV;-99;-99;4u_s_16.png;4u_d_16.png;240.179904489;1;1;simple
213;21;f;r;n;n;n;1;series1c;2;0;0;0;5;0;4;nc;0;0;9;0;1;1.46962997457;QSGD;QSGD;1;4u_s_6.png;4u_s_6.png;252.15815954;1;1;simple
213;21;f;r;n;n;n;1;series1c;3;1;0;0;1;0;4;nc;0;0;1;0;1;1.46299131773;JHKM;-99;-99;4u_s_2.png;4u_d_2.png;260.482884247;1;1;simple
213;21;f;r;n;n;n;1;series1c;4;0;0;0;8;0;8;nc;0;0;9;0;1;1.17996678222;DJHT;-99;-99;8u_s_9.png;8u_s_9.png;268.090233276;1;1;simple
213;21;f;r;n;n;n;1;series1c;5;1;0;0;12;0;8;nc;0;0;1;0;1;1.4631429268;JWZN;-99;-99;8u_s_13.png;8u_d_13.png;275.530454222;1;1;simple
213;21;f;r;n;n;n;1;series1c;6;0;0;0;20;0;6;nc;0;0;9;0;1;1.25301504321;TCZL;-99;-99;6u_s_21.png;6u_s_21.png;283.004406618;1;1;simple
213;21;f;r;n;n;n;1;series1c;7;1;0;0;13;0;6;nc;0;0;1;0;1;1.03305106005;HFPY;;0;6u_s_14.png;6u_d_14.png;291.54592119;1;1;simple
213;21;f;r;n;n;n;1;series1c;8;1;0;0;2;0;4;nc;0;0;9;0;0;0.978734056;JPQB;-99;-99;4u_s_3.png;4u_d_3.png;298.219367788;1;1;simple
213;21;f;r;n;n;n;1;series1c;9;0;0;0;14;0;6;nc;0;0;9;0;1;0.905657919124;NRPV;-99;-99;6u_s_15.png;6u_s_15.png;305.409707133;1;1;simple
213;21;f;r;n;n;n;1;series1c;10;0;0;0;11;0;8;nc;0;0;9;0;1;1.13259364432;DQMF;-99;-99;8u_s_12.png;8u_s_12.png;312.416418038;1;1;simple
213;21;f;r;n;n;n;1;series1c;11;1;0;0;7;0;6;nc;0;0;9;0;0;1.25376483984;QMSN;-99;-99;6u_s_8.png;6u_d_8.png;319.539623014;1;1;simple
213;21;f;r;n;n;n;1;series1c;12;1;0;0;15;0;6;nc;0;0;1;0;1;1.41086937441;LCRM;-99;-99;6u_s_16.png;6u_d_16.png;326.797009405;1;1;simple
213;21;f;r;n;n;n;1;series1c;13;1;0;0;8;0;6;nc;0;0;9;0;0;0.906783751678;MVGN;-99;-99;6u_s_9.png;6u_d_9.png;333.920487732;1;1;simple
213;21;f;r;n;n;n;1;series1c;14;1;0;0;23;0;8;nc;0;0;1;0;1;1.33478950104;CJQL;-99;-99;8u_s_24.png;8u_d_24.png;341.294355677;1;1;simple
213;21;f;r;n;n;n;1;series1c;15;0;0;0;1;0;4;nc;0;0;9;0;1;1.00713871047;DMRP;-99;-99;4u_s_2.png;4u_s_2.png;348.184242272;1;1;simple
213;21;f;r;n;n;n;1;series1c;16;0;0;0;20;0;4;nc;0;0;9;0;1;1.22578059509;GFND;-99;-99;4u_s_21.png;4u_s_21.png;355.17444827;1;1;simple
213;21;f;r;n;n;n;1;series1c;17;0;0;0;18;0;4;nc;0;0;9;0;1;1.33116510557;LQFH;-99;-99;4u_s_19.png;4u_s_19.png;362.281330951;1;1;simple
213;21;f;r;n;n;n;1;series1c;18;1;0;0;3;0;4;nc;0;0;1;0;1;1.13229981298;VMPR;-99;-99;4u_s_4.png;4u_d_4.png;369.104534306;1;1;simple
213;21;f;r;n;n;n;1;series1c;19;1;0;0;22;0;6;nc;0;0;1;0;1;0.956122972071;LRGM;-99;-99;6u_s_23.png;6u_d_23.png;376.161387704;1;1;simple
213;21;f;r;n;n;n;1;series1c;20;1;0;0;7;0;4;nc;0;0;1;0;1;1.31086542038;ZWMV;-99;-99;4u_s_8.png;4u_d_8.png;383.284722671;1;1;simple
213;21;f;r;n;n;n;1;series1c;21;0;0;0;2;0;6;nc;0;0;9;0;1;1.00702720834;YBZR;-99;-99;6u_s_3.png;6u_s_3.png;390.408303682;1;1;simple
213;21;f;r;n;n;n;1;series1c;22;1;0;0;21;0;4;nc;0;0;9;0;0;1.25715286145;TDXL;-99;-99;4u_s_22.png;4u_d_22.png;397.448348386;1;1;simple
213;21;f;r;n;n;n;1;series1c;23;1;0;0;20;0;4;nc;0;0;-1;1;-99999;-1;CYXV;-99;-99;4u_s_21.png;4u_d_21.png;406.373918861;1;1;simple
213;21;f;r;n;n;n;1;series1c;0;0;0;0;4;0;8;nc;0;0;9;0;1;0.828200764488;BZCM;-99;-99;8u_s_5.png;8u_s_5.png;496.627858635;1;1;cubes
213;21;f;r;n;n;n;1;series1c;1;1;0;0;0;0;6;nc;0;0;1;0;1;0.943755313754;XJBN;-99;-99;6u_s_1.png;6u_d_1.png;503.500928855;1;1;cubes
213;21;f;r;n;n;n;1;series1c;2;1;0;0;13;0;8;nc;0;0;9;0;0;0.759720971342;ZVNL;;0;8u_s_14.png;8u_d_14.png;511.592367608;1;1;cubes
213;21;f;r;n;n;n;1;series1c;3;1;0;0;11;0;8;nc;0;0;9;0;0;0.973308272194;JRGP;-99;-99;8u_s_12.png;8u_d_12.png;518.248843661;1;1;cubes
213;21;f;r;n;n;n;1;series1c;4;0;0;0;19;0;6;nc;0;0;9;0;1;1.43478975678;PSJK;-99;-99;6u_s_20.png;6u_s_20.png;525.62267918;1;1;cubes
213;21;f;r;n;n;n;1;series1c;5;0;0;0;15;0;4;nc;0;0;9;0;1;0.955204499885;XJCP;-99;-99;4u_s_16.png;4u_s_16.png;532.362497835;1;1;cubes
213;21;f;r;n;n;n;1;series1c;6;0;0;0;17;0;6;nc;0;0;9;0;1;1.138035357;XQZK;-99;-99;6u_s_18.png;6u_s_18.png;539.219141085;1;1;cubes
