subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
212;18;f;r;n;n;n;1;series1c;0;0;0;0;17;0;6;nc;0;0;1;0;0;0.965247460874;LPHV;-99;-99;6u_s_18.png;6u_s_18.png;259.699847083;1;2;cubes
212;18;f;r;n;n;n;1;series1c;1;0;0;0;15;0;6;nc;0;0;9;0;1;1.03587495605;FRLX;-99;-99;6u_s_16.png;6u_s_16.png;268.416395876;1;2;cubes
212;18;f;r;n;n;n;1;series1c;2;1;0;0;13;0;6;nc;0;0;1;0;1;1.08477262105;MXSN;-99;-99;6u_s_14.png;6u_d_14.png;276.049650589;1;2;cubes
212;18;f;r;n;n;n;1;series1c;3;0;0;0;14;0;4;nc;0;0;9;0;1;1.09782007663;TYCK;-99;-99;4u_s_15.png;4u_s_15.png;284.149647517;1;2;cubes
212;18;f;r;n;n;n;1;series1c;4;0;0;0;18;0;4;nc;0;0;-1;1;-99999;-1;XLBP;-99;-99;4u_s_19.png;4u_s_19.png;294.432764786;1;2;cubes
212;18;f;r;n;n;n;1;series1c;5;0;0;0;9;0;6;nc;0;0;9;0;1;0.667218488408;ZTJR;-99;-99;6u_s_10.png;6u_s_10.png;302.099352947;1;2;cubes
212;18;f;r;n;n;n;1;series1c;6;0;0;0;23;0;6;nc;0;0;9;0;1;0.650523320539;XLDM;-99;-99;6u_s_24.png;6u_s_24.png;310.099238031;1;2;cubes
212;18;f;r;n;n;n;1;series1c;7;0;0;0;13;0;4;nc;0;0;9;0;1;0.645180036314;LZKH;-99;-99;4u_s_14.png;4u_s_14.png;316.999207254;1;2;cubes
212;18;f;r;n;n;n;1;series1c;8;1;0;0;18;0;6;nc;0;0;1;0;1;0.360578536754;THLR;THLR;1;6u_s_19.png;6u_d_19.png;328.382319176;1;2;cubes
212;18;f;r;n;n;n;1;series1c;9;1;0;0;17;0;8;nc;0;0;1;0;1;0.839542181464;DGJB;-99;-99;8u_s_18.png;8u_d_18.png;335.548978163;1;2;cubes
212;18;f;r;n;n;n;1;series1c;10;1;0;0;16;0;8;nc;0;0;1;0;1;0.598158280598;MVPZ;-99;-99;8u_s_17.png;8u_d_17.png;342.932209267;1;2;cubes
212;18;f;r;n;n;n;1;series1c;11;1;0;0;4;0;8;nc;0;0;9;0;0;0.634200205328;CMTK;-99;-99;8u_s_5.png;8u_d_5.png;351.68206164;1;2;cubes
212;18;f;r;n;n;n;1;series1c;12;0;0;0;10;0;8;nc;0;0;9;0;1;0.700316700153;MBYF;-99;-99;8u_s_11.png;8u_s_11.png;359.698712719;1;2;cubes
212;18;f;r;n;n;n;1;series1c;13;1;0;0;10;0;6;nc;0;0;9;0;0;0.454363203375;FJWC;-99;-99;6u_s_11.png;6u_d_11.png;367.998554455;1;2;cubes
212;18;f;r;n;n;n;1;series1c;14;1;0;0;11;0;8;nc;0;0;9;0;0;0.747131380253;XJCV;-99;-99;8u_s_12.png;8u_d_12.png;376.165121566;1;2;cubes
212;18;f;r;n;n;n;1;series1c;15;0;0;0;23;0;4;nc;0;0;9;0;1;1.43197374698;VKWJ;-99;-99;4u_s_24.png;4u_s_24.png;385.331708019;1;2;cubes
212;18;f;r;n;n;n;1;series1c;16;0;0;0;13;0;8;nc;0;0;9;0;1;0.520693599945;ZLNS;-99;-99;8u_s_14.png;8u_s_14.png;392.014923081;1;2;cubes
212;18;f;r;n;n;n;1;series1c;17;0;0;0;9;0;4;nc;0;0;9;0;1;0.987362997606;WLHM;-99;-99;4u_s_10.png;4u_s_10.png;399.614845769;1;2;cubes
212;18;f;r;n;n;n;1;series1c;18;0;0;0;12;0;8;nc;0;0;9;0;1;0.625540870707;HLKW;-99;-99;8u_s_13.png;8u_s_13.png;406.698138995;1;2;cubes
212;18;f;r;n;n;n;1;series1c;19;0;0;0;10;0;6;nc;0;0;9;0;1;0.422876368044;QNBV;QBNV;0;6u_s_11.png;6u_s_11.png;419.181271739;1;2;cubes
212;18;f;r;n;n;n;1;series1c;20;0;0;0;20;0;4;nc;0;0;9;0;1;0.556336165173;ZXNP;ZXNP;1;4u_s_21.png;4u_s_21.png;431.981104372;1;2;cubes
212;18;f;r;n;n;n;1;series1c;21;0;0;0;15;0;8;nc;0;0;9;0;1;1.17779241735;CQJT;-99;-99;8u_s_16.png;8u_s_16.png;439.847763757;1;2;cubes
212;18;f;r;n;n;n;1;series1c;22;0;0;0;23;0;8;nc;0;0;9;0;1;0.674618873047;HGTZ;-99;-99;8u_s_24.png;8u_s_24.png;446.731120016;1;2;cubes
212;18;f;r;n;n;n;1;series1c;23;0;0;0;16;0;4;nc;0;0;9;0;1;0.521332746139;TYRC;-99;-99;4u_s_17.png;4u_s_17.png;454.014204859;1;2;cubes
212;18;f;r;n;n;n;1;series1c;0;0;0;0;18;0;8;nc;0;0;9;0;1;0.768755397294;CJPK;-99;-99;8u_s_19.png;8u_s_19.png;522.496742261;1;2;simple
212;18;f;r;n;n;n;1;series1c;1;1;0;0;1;0;6;nc;0;0;9;0;0;0.682328448864;RNGJ;-99;-99;6u_s_2.png;6u_d_2.png;533.77996193;1;2;simple
212;18;f;r;n;n;n;1;series1c;2;1;0;0;0;0;6;nc;0;0;1;0;1;0.510924933013;XBKM;-99;-99;6u_s_1.png;6u_d_1.png;540.679902709;1;2;simple
212;18;f;r;n;n;n;1;series1c;3;1;0;0;19;0;6;nc;0;0;1;0;1;0.430455099326;DLWF;-99;-99;6u_s_20.png;6u_d_20.png;547.413135576;1;2;simple
212;18;f;r;n;n;n;1;series1c;4;1;0;0;20;0;4;nc;0;0;1;0;1;1.02916690847;JMNK;-99;-99;4u_s_21.png;4u_d_21.png;555.446406161;1;2;simple
212;18;f;r;n;n;n;1;series1c;5;0;0;0;20;0;6;nc;0;0;9;0;1;0.981965099694;GMKQ;-99;-99;6u_s_21.png;6u_s_21.png;562.57962219;1;2;simple
212;18;f;r;n;n;n;1;series1c;6;1;0;0;19;0;8;nc;0;0;1;0;1;0.679501073668;WTSG;-99;-99;8u_s_20.png;8u_d_20.png;569.462889134;1;2;simple
212;18;f;r;n;n;n;1;series1c;7;1;0;0;21;0;8;nc;0;0;1;0;1;1.2920783998;BNKF;-99;-99;8u_s_22.png;8u_d_22.png;577.146113013;1;2;simple
212;18;f;r;n;n;n;1;series1c;8;0;0;0;17;0;6;nc;0;0;9;0;1;0.724789425964;DXNT;-99;-99;6u_s_18.png;6u_s_18.png;583.962742645;1;2;simple
