subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
224;19;f;r;c;n;n;1;series1c;0;1;0;0;0;0;6;nc;0;0;1;0;1;1.17535906192;XVBK;-99;-99;6u_s_1.png;6u_d_1.png;197.938762171;1;2;cubes
224;19;f;r;c;n;n;1;series1c;1;0;0;0;5;0;6;nc;0;0;9;0;1;1.0968511682;ZBYK;-99;-99;6u_s_6.png;6u_s_6.png;205.829725957;1;2;cubes
224;19;f;r;c;n;n;1;series1c;2;1;0;0;6;0;6;nc;0;0;1;0;1;0.927447810769;HBWF;-99;-99;6u_s_7.png;6u_d_7.png;213.320073467;1;2;cubes
224;19;f;r;c;n;n;1;series1c;3;1;0;0;9;0;8;nc;0;0;1;0;1;1.07105942303;GKLW;-99;-99;8u_s_10.png;8u_d_10.png;221.494554732;1;2;cubes
224;19;f;r;c;n;n;1;series1c;4;0;0;0;3;0;4;nc;0;0;9;0;1;0.999664924107;GNQW;-99;-99;4u_s_4.png;4u_s_4.png;229.035500983;1;2;cubes
224;19;f;r;c;n;n;1;series1c;5;1;0;0;4;0;4;nc;0;0;1;0;1;0.818667882588;JMXF;-99;-99;4u_s_5.png;4u_d_5.png;236.209120096;1;2;cubes
224;19;f;r;c;n;n;1;series1c;6;1;0;0;20;0;8;nc;0;0;9;0;0;1.07066660468;RSJX;-99;-99;8u_s_21.png;8u_d_21.png;243.399408526;1;2;cubes
224;19;f;r;c;n;n;1;series1c;7;0;0;0;18;0;8;nc;0;0;9;0;1;1.310501331;BGYS;-99;-99;8u_s_19.png;8u_s_19.png;250.873313136;1;2;cubes
224;19;f;r;c;n;n;1;series1c;8;0;0;0;1;0;4;nc;0;0;9;0;1;1.39239952201;QTMN;-99;-99;4u_s_2.png;4u_s_2.png;258.330301816;1;2;cubes
224;19;f;r;c;n;n;1;series1c;9;0;0;0;2;0;4;nc;0;0;9;0;1;1.00799944019;HDST;-99;-99;4u_s_3.png;4u_s_3.png;265.387347499;1;2;cubes
224;19;f;r;c;n;n;1;series1c;10;1;0;0;9;0;4;nc;0;0;1;0;1;0.992410444655;JQHL;-99;-99;4u_s_10.png;4u_d_10.png;272.394152271;1;2;cubes
224;19;f;r;c;n;n;1;series1c;11;0;0;0;10;0;6;nc;0;0;9;0;1;0.943186424207;LDJH;LDJH;1;6u_s_11.png;6u_s_11.png;283.888586113;1;2;cubes
224;19;f;r;c;n;n;1;series1c;12;1;0;0;17;0;6;nc;0;0;1;0;1;1.03044497687;BMTD;-99;-99;6u_s_18.png;6u_d_18.png;291.045500638;1;2;cubes
224;19;f;r;c;n;n;1;series1c;13;1;0;0;2;0;4;nc;0;0;1;0;1;1.113052289;CTVB;-99;-99;4u_s_3.png;4u_d_3.png;298.102332703;1;2;cubes
224;19;f;r;c;n;n;1;series1c;14;0;0;0;9;0;8;nc;0;0;9;0;1;1.84493749496;TRZX;-99;-99;8u_s_10.png;8u_s_10.png;305.776421293;1;2;cubes
224;19;f;r;c;n;n;1;series1c;15;0;0;0;14;0;8;nc;0;0;9;0;1;1.27425254323;FZDQ;-99;-99;8u_s_15.png;8u_s_15.png;312.899983246;1;2;cubes
224;19;f;r;c;n;n;1;series1c;16;0;0;0;17;0;8;nc;0;0;9;0;1;1.08990332019;WNVD;-99;-99;8u_s_18.png;8u_s_18.png;319.956811044;1;2;cubes
224;19;f;r;c;n;n;1;series1c;17;1;0;0;1;0;6;nc;0;0;1;0;1;0.949840724934;PWSG;-99;-99;6u_s_2.png;6u_d_2.png;326.763415055;1;2;cubes
224;19;f;r;c;n;n;1;series1c;18;1;0;0;12;0;6;nc;0;0;9;0;0;1.37284365995;GQDT;-99;-99;6u_s_13.png;6u_d_13.png;334.437474916;1;2;cubes
224;19;f;r;c;n;n;1;series1c;19;0;0;0;23;0;4;nc;0;0;9;0;1;1.30832902621;HMRZ;-99;-99;4u_s_24.png;4u_s_24.png;341.811279999;1;2;cubes
224;19;f;r;c;n;n;1;series1c;20;1;0;0;3;0;4;nc;0;0;1;0;1;0.888531784527;ZVLF;-99;-99;4u_s_4.png;4u_d_4.png;348.717970168;1;2;cubes
224;19;f;r;c;n;n;1;series1c;21;1;0;0;18;0;6;nc;0;0;1;0;1;0.986392731313;GTRM;GTRM;1;6u_s_19.png;6u_d_19.png;360.512722788;1;2;cubes
224;19;f;r;c;n;n;1;series1c;22;0;0;0;19;0;6;nc;0;0;9;0;1;1.14220161969;RPZY;-99;-99;6u_s_20.png;6u_s_20.png;367.986410936;1;2;cubes
224;19;f;r;c;n;n;1;series1c;23;1;0;0;4;0;8;nc;0;0;1;0;1;1.0307720881;ZMRN;-99;-99;8u_s_5.png;8u_d_5.png;374.893261816;1;2;cubes
224;19;f;r;c;n;n;1;series1c;0;0;0;0;5;0;8;nc;0;0;9;0;1;1.06165454164;TKJV;-99;-99;8u_s_6.png;8u_s_6.png;472.687997085;1;2;simple
224;19;f;r;c;n;n;1;series1c;1;0;0;0;18;0;4;nc;0;0;9;0;1;1.01235144539;JWCB;JWCB;1;4u_s_19.png;4u_s_19.png;483.665231548;1;2;simple
224;19;f;r;c;n;n;1;series1c;2;1;0;0;23;0;6;nc;0;0;1;0;1;1.55720966542;DXVY;-99;-99;6u_s_24.png;6u_d_24.png;491.572527016;1;2;simple
224;19;f;r;c;n;n;1;series1c;3;0;0;0;17;0;8;nc;0;0;9;0;1;1.38684061775;MHBP;-99;-99;8u_s_18.png;8u_s_18.png;499.280365261;1;2;simple
224;19;f;r;c;n;n;1;series1c;4;0;0;0;11;0;8;nc;0;0;9;0;1;1.03115295991;MSGC;-99;-99;8u_s_12.png;8u_s_12.png;506.23689243;1;2;simple
224;19;f;r;c;n;n;1;series1c;5;1;0;0;11;0;4;nc;0;0;1;0;1;1.0736663593;WNGB;-99;-99;4u_s_12.png;4u_d_12.png;513.260727195;1;2;simple
224;19;f;r;c;n;n;1;series1c;6;0;0;0;19;0;4;nc;0;0;9;0;1;0.954244498629;KGWM;-99;-99;4u_s_20.png;4u_s_20.png;520.167245844;1;2;simple
