subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
214;18;f;r;n;n;n;1;series1c;0;0;0;0;10;0;6;nc;0;0;9;0;1;0.981496048276;BNSV;-99;-99;6u_s_11.png;6u_s_11.png;245.057700225;1;2;cubes
214;18;f;r;n;n;n;1;series1c;1;0;0;0;13;0;4;nc;0;0;9;0;1;0.727430207597;GNQB;GNQB;1;4u_s_14.png;4u_s_14.png;261.589166572;1;2;cubes
214;18;f;r;n;n;n;1;series1c;2;1;0;0;1;0;6;nc;0;0;1;0;1;0.852839810104;RSVK;-99;-99;6u_s_2.png;6u_d_2.png;270.971501083;1;2;cubes
214;18;f;r;n;n;n;1;series1c;3;0;0;0;8;0;8;nc;0;0;9;0;1;1.0385361404;ZCBN;-99;-99;8u_s_9.png;8u_s_9.png;279.32060527;1;2;cubes
214;18;f;r;n;n;n;1;series1c;4;1;0;0;23;0;4;nc;0;0;1;0;1;0.864930177398;ZVQN;ZVQN;1;4u_s_24.png;4u_d_24.png;292.602437452;1;2;cubes
214;18;f;r;n;n;n;1;series1c;5;0;0;0;23;0;6;nc;0;0;9;0;1;0.662894419744;XFPL;-99;-99;6u_s_24.png;6u_s_24.png;299.768361481;1;2;cubes
214;18;f;r;n;n;n;1;series1c;6;0;0;0;17;0;6;nc;0;0;9;0;1;0.60725277153;LWKG;LWKG;1;6u_s_18.png;6u_s_18.png;310.983755955;1;2;cubes
214;18;f;r;n;n;n;1;series1c;7;0;0;0;9;0;8;nc;0;0;9;0;1;0.606404287624;NJVS;NJVS;1;8u_s_10.png;8u_s_10.png;321.365965805;1;2;cubes
214;18;f;r;n;n;n;1;series1c;8;1;0;0;16;0;8;nc;0;0;1;0;1;0.715626290388;FQCG;-99;-99;8u_s_17.png;8u_d_17.png;329.131826205;1;2;cubes
214;18;f;r;n;n;n;1;series1c;9;1;0;0;2;0;8;nc;0;0;9;0;0;0.892648223584;JQRP;-99;-99;8u_s_3.png;8u_d_3.png;336.680975488;1;2;cubes
214;18;f;r;n;n;n;1;series1c;10;0;0;0;8;0;4;nc;0;0;9;0;1;0.811083294509;NGRP;-99;-99;4u_s_9.png;4u_s_9.png;346.446530724;1;2;cubes
214;18;f;r;n;n;n;1;series1c;11;0;0;0;4;0;4;nc;0;0;9;0;1;0.850157623005;QYSN;-99;-99;4u_s_5.png;4u_s_5.png;353.729107556;1;2;cubes
214;18;f;r;n;n;n;1;series1c;12;1;0;0;8;0;4;nc;0;0;1;0;1;0.779156333534;HJMV;-99;-99;4u_s_9.png;4u_d_9.png;360.645002306;1;2;cubes
214;18;f;r;n;n;n;1;series1c;13;0;0;0;16;0;8;nc;0;0;9;0;1;0.907475411776;ZNHK;-99;-99;8u_s_17.png;8u_s_17.png;367.760888122;1;2;cubes
214;18;f;r;n;n;n;1;series1c;14;1;0;0;22;0;8;nc;0;0;1;0;1;0.755164251517;FSXT;-99;-99;8u_s_23.png;8u_d_23.png;374.826771946;1;2;cubes
214;18;f;r;n;n;n;1;series1c;15;1;0;0;8;0;6;nc;0;0;1;0;1;0.966827630065;VBGH;-99;-99;6u_s_9.png;6u_d_9.png;381.959329821;1;2;cubes
214;18;f;r;n;n;n;1;series1c;16;1;0;0;21;0;8;nc;0;0;1;0;1;0.807872578327;DMTC;-99;-99;8u_s_22.png;8u_d_22.png;389.175206643;1;2;cubes
214;18;f;r;n;n;n;1;series1c;17;1;0;0;5;0;4;nc;0;0;1;0;1;0.687586478365;ZYJT;-99;-99;4u_s_6.png;4u_d_6.png;396.674387136;1;2;cubes
214;18;f;r;n;n;n;1;series1c;18;0;0;0;1;0;8;nc;0;0;9;0;1;1.13656334742;MZDK;MZDK;1;8u_s_2.png;8u_s_2.png;408.706362694;1;2;cubes
214;18;f;r;n;n;n;1;series1c;19;0;0;0;22;0;4;nc;0;0;9;0;1;1.10513986251;YDHL;YHDL;0;4u_s_23.png;4u_s_23.png;421.138338795;1;2;cubes
214;18;f;r;n;n;n;1;series1c;20;1;0;0;18;0;4;nc;0;0;1;0;1;0.766534720518;XJVW;-99;-99;4u_s_19.png;4u_d_19.png;430.820641793;1;2;cubes
214;18;f;r;n;n;n;1;series1c;21;0;0;0;3;0;6;nc;0;0;9;0;1;1.03686241462;KYTB;-99;-99;6u_s_4.png;6u_s_4.png;438.136479737;1;2;cubes
214;18;f;r;n;n;n;1;series1c;22;1;0;0;6;0;4;nc;0;0;1;0;1;0.895194882643;HGNF;-99;-99;4u_s_7.png;4u_d_7.png;445.536032343;1;2;cubes
214;18;f;r;n;n;n;1;series1c;23;0;0;0;3;0;8;nc;0;0;9;0;1;1.02286680703;NVGR;NVGR;1;8u_s_4.png;8u_s_4.png;457.384341775;1;2;cubes
214;18;f;r;n;n;n;1;series1c;0;1;0;0;12;0;4;nc;0;0;1;0;1;0.846739238041;TPLG;-99;-99;4u_s_13.png;4u_d_13.png;547.024552908;1;2;simple
214;18;f;r;n;n;n;1;series1c;1;0;0;0;6;0;6;nc;0;0;9;0;1;0.978456477693;CFSX;CFXS;0;6u_s_7.png;6u_s_7.png;557.656693032;1;2;simple
214;18;f;r;n;n;n;1;series1c;2;0;0;0;8;0;6;nc;0;0;9;0;1;0.790316719009;KXMZ;-99;-99;6u_s_9.png;6u_s_9.png;565.589195851;1;2;simple
214;18;f;r;n;n;n;1;series1c;3;0;0;0;14;0;4;nc;0;0;9;0;1;1.06635922834;BQXK;-99;-99;4u_s_15.png;4u_s_15.png;572.58840683;1;2;simple
214;18;f;r;n;n;n;1;series1c;4;0;0;0;10;0;8;nc;0;0;9;0;1;1.09565833415;PWML;PWML;1;8u_s_11.png;8u_s_11.png;583.303853222;1;2;simple
214;18;f;r;n;n;n;1;series1c;5;1;0;0;19;0;8;nc;0;0;1;0;1;0.905533950223;SPHZ;-99;-99;8u_s_20.png;8u_d_20.png;591.452986567;1;2;simple
214;18;f;r;n;n;n;1;series1c;6;0;0;0;18;0;4;nc;0;0;9;0;1;1.47386361717;XDRL;-99;-99;4u_s_19.png;4u_s_19.png;599.218840327;1;2;simple
214;18;f;r;n;n;n;1;series1c;7;1;0;0;23;0;4;nc;0;0;1;0;1;0.844273473194;HWTB;-99;-99;4u_s_24.png;4u_d_24.png;606.534680383;1;2;simple
214;18;f;r;n;n;n;1;series1c;8;1;0;0;14;0;8;nc;0;0;1;0;1;1.53128554215;SVRW;-99;-99;8u_s_15.png;8u_d_15.png;614.667181512;1;2;simple
214;18;f;r;n;n;n;1;series1c;9;1;0;0;17;0;8;nc;0;0;9;0;0;0.977694623056;WQGC;-99;-99;8u_s_18.png;8u_d_18.png;622.349624868;1;2;simple
214;18;f;r;n;n;n;1;series1c;10;1;0;0;15;0;8;nc;0;0;1;0;1;0.780756409367;GBZX;GBZX;1;8u_s_16.png;8u_d_16.png;635.231486691;1;2;simple
214;18;f;r;n;n;n;1;series1c;11;0;0;0;1;0;8;nc;0;0;9;0;1;0.964722267148;SCWR;-99;-99;8u_s_2.png;8u_s_2.png;643.29732222;1;2;simple
214;18;f;r;n;n;n;1;series1c;12;1;0;0;5;0;8;nc;0;0;1;0;1;0.915735980525;ZSPB;-99;-99;8u_s_6.png;8u_d_6.png;650.079878526;1;2;simple
214;18;f;r;n;n;n;1;series1c;13;1;0;0;11;0;4;nc;0;0;1;0;1;0.956717662222;LJNQ;-99;-99;4u_s_12.png;4u_d_12.png;657.095792957;1;2;simple
214;18;f;r;n;n;n;1;series1c;14;0;0;0;22;0;8;nc;0;0;1;0;0;1.31306701421;XKSY;-99;-99;8u_s_23.png;8u_s_23.png;664.561670683;1;2;simple
