subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
119;19;m;r;c;n;n;1;series1c;0;0;0;0;7;0;6;nc;0;0;9;0;1;0.893379534828;FRGT;-99;-99;6u_s_8_2D.png;6u_s_8_2D.png;343.608704445;2;1;2D
119;19;m;r;c;n;n;1;series1c;1;0;0;0;8;0;6;nc;1;0;9;0;1;1.45819254545;HRNW;-99;-99;6u_s_9_b_2D.png;6u_s_9_b_2D.png;354.058571311;2;1;2D
119;19;m;r;c;n;n;1;series1c;2;0;0;0;17;0;6;nc;1;0;9;0;1;0.782965437975;HZCR;HZR;0;6u_s_18_b_2D.png;6u_s_18_b_2D.png;376.608219468;2;1;2D
119;19;m;r;c;n;n;1;series1c;3;0;0;0;22;0;6;nc;0;0;9;0;1;0.980711844284;HFTZ;-99;-99;6u_s_23_2D.png;6u_s_23_2D.png;385.108176375;2;1;2D
119;19;m;r;c;n;n;1;series1c;4;0;0;0;11;0;6;nc;1;0;9;0;1;1.04314732854;KTMH;KTMH;1;6u_s_12_b_2D.png;6u_s_12_b_2D.png;400.491276525;2;1;2D
119;19;m;r;c;n;n;1;series1c;5;1;0;0;11;0;6;nc;0;0;1;0;1;0.980012396118;ZHVS;-99;-99;6u_s_12_2D.png;6u_d_12_2D.png;409.141274008;2;1;2D
119;19;m;r;c;n;n;1;series1c;6;1;0;0;1;0;6;nc;0;0;9;0;0;0.887989602983;KNTR;-99;-99;6u_s_2_2D.png;6u_d_2_2D.png;416.957759479;2;1;2D
119;19;m;r;c;n;n;1;series1c;7;1;0;0;7;0;6;nc;0;0;1;0;1;1.20229921862;SLNY;-99;-99;6u_s_8_2D.png;6u_d_8_2D.png;426.2243169;2;1;2D
119;19;m;r;c;n;n;1;series1c;8;1;0;0;18;0;6;nc;0;0;9;0;0;1.1269306289;PNBC;-99;-99;6u_s_19_2D.png;6u_d_19_2D.png;434.024256257;2;1;2D
119;19;m;r;c;n;n;1;series1c;9;1;0;0;9;0;6;nc;1;0;9;0;0;0.79840335832;RFCY;-99;-99;6u_s_10_b_2D.png;6u_d_10_b_2D.png;441.507485289;2;1;2D
