subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
105;18;f;r;n;n;n;1;series1c;0;1;0;0;21;0;6;nc;0;0;1;0;1;0.789857900001;JYWD;-99;-99;6u_s_22_2D.png;6u_d_22_2D.png;216.9867423;1;1;2D
105;18;f;r;n;n;n;1;series1c;1;1;0;0;2;0;6;nc;0;0;1;0;1;1.1105574;GXQS;-99;-99;6u_s_3_2D.png;6u_d_3_2D.png;226.8632728;1;1;2D
105;18;f;r;n;n;n;1;series1c;2;1;0;0;10;0;6;nc;1;0;1;0;1;0.907475700002;GDVM;-99;-99;6u_s_11_b_2D.png;6u_d_11_b_2D.png;234.5539198;1;1;2D
105;18;f;r;n;n;n;1;series1c;3;0;0;0;19;0;6;nc;0;0;9;0;1;0.8312209;VLWC;VLWC;1;6u_s_20_2D.png;6u_s_20_2D.png;247.1998296;1;1;2D
105;18;f;r;n;n;n;1;series1c;4;0;0;0;4;0;6;nc;1;0;9;0;1;1.112882;HMTZ;-99;-99;6u_s_5_b_2D.png;6u_s_5_b_2D.png;255.1407262;1;1;2D
105;18;f;r;n;n;n;1;series1c;5;1;0;0;22;0;6;nc;1;0;1;0;1;0.8401968;PSNQ;PSNQ;1;6u_s_23_b_2D.png;6u_d_23_b_2D.png;266.5187208;1;1;2D
105;18;f;r;n;n;n;1;series1c;6;1;0;0;6;0;6;nc;1;0;1;0;1;0.9605391;HJYR;-99;-99;6u_s_7_b_2D.png;6u_d_7_b_2D.png;273.7589496;1;1;2D
105;18;f;r;n;n;n;1;series1c;7;1;0;0;11;0;6;nc;1;0;1;0;1;1.0234476;VJHD;-99;-99;6u_s_12_b_2D.png;6u_d_12_b_2D.png;281.0827769;1;1;2D
105;18;f;r;n;n;n;1;series1c;8;1;0;0;18;0;6;nc;0;0;1;0;1;0.9583275;VJPX;VJPX;1;6u_s_19_2D.png;6u_d_19_2D.png;292.6109111;1;1;2D
105;18;f;r;n;n;n;1;series1c;9;1;0;0;9;0;6;nc;1;0;1;0;1;1.540538;CSQV;-99;-99;6u_s_10_b_2D.png;6u_d_10_b_2D.png;300.2348235;1;1;2D
105;18;f;r;n;n;n;1;series1c;10;1;0;0;13;0;6;nc;0;0;1;0;1;1.196401;PHTZ;-99;-99;6u_s_14_2D.png;6u_d_14_2D.png;308.2928854;1;1;2D
105;18;f;r;n;n;n;1;series1c;11;1;0;0;8;0;6;nc;0;0;1;0;1;0.908751199999;RYGT;-99;-99;6u_s_9_2D.png;6u_d_9_2D.png;315.8167576;1;1;2D
105;18;f;r;n;n;n;1;series1c;12;0;0;0;15;0;6;nc;1;0;9;0;1;1.0077105;NKWZ;-99;-99;6u_s_16_b_2D.png;6u_s_16_b_2D.png;323.0738328;1;1;2D
105;18;f;r;n;n;n;1;series1c;13;0;0;0;1;0;6;nc;0;0;9;0;1;0.967340700001;ZHQS;-99;-99;6u_s_2_2D.png;6u_s_2_2D.png;330.2811105;1;1;2D
105;18;f;r;n;n;n;1;series1c;14;0;0;0;14;0;6;nc;1;0;9;0;1;0.6795422;XTZY;-99;-99;6u_s_15_b_2D.png;6u_s_15_b_2D.png;337.2042422;1;1;2D
105;18;f;r;n;n;n;1;series1c;15;0;0;0;18;0;6;nc;1;0;9;0;1;1.2295538;RQYD;-99;-99;6u_s_19_b_2D.png;6u_s_19_b_2D.png;344.6449358;1;1;2D
105;18;f;r;n;n;n;1;series1c;16;1;0;0;22;0;6;nc;0;0;1;0;1;0.8702355;SYDG;-99;-99;6u_s_23_2D.png;6u_d_23_2D.png;351.9022118;1;1;2D
105;18;f;r;n;n;n;1;series1c;17;1;0;0;17;0;6;nc;1;0;1;0;1;1.0912452;SYLZ;-99;-99;6u_s_18_b_2D.png;6u_d_18_b_2D.png;359.2260125;1;1;2D
