subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
106;18;m;r;c;n;n;1;series1c;6;0;0;0;2;0;6;nc;0;0;1;0;0;1.2645048;ZMPN;-99;-99;6u_s_3_2D.png;6u_s_3_2D.png;378.3308196;1;2;2D
106;18;m;r;c;n;n;1;series1c;7;0;0;0;20;0;6;nc;0;0;9;0;1;1.0973551;DKVQ;-99;-99;6u_s_21_2D.png;6u_s_21_2D.png;385.3543096;1;2;2D
106;18;m;r;c;n;n;1;series1c;8;0;0;0;23;0;6;nc;1;0;9;0;1;1.1028139;WVRP;-99;-99;6u_s_24_b_2D.png;6u_s_24_b_2D.png;392.4781684;1;2;2D
106;18;m;r;c;n;n;1;series1c;9;1;0;0;8;0;6;nc;1;0;9;0;0;1.1689974;DRML;-99;-99;6u_s_9_b_2D.png;6u_d_9_b_2D.png;399.5181518;1;2;2D
106;18;m;r;c;n;n;1;series1c;10;1;0;0;19;0;6;nc;1;0;1;0;1;1.5800529;YQZH;-99;-99;6u_s_20_b_2D.png;6u_d_20_b_2D.png;407.075278;1;2;2D
106;18;m;r;c;n;n;1;series1c;11;0;0;0;3;0;6;nc;0;0;1;0;0;1.9984123;LZGJ;LGDZ;0;6u_s_4_2D.png;6u_s_4_2D.png;424.27571;1;2;2D
106;18;m;r;c;n;n;1;series1c;12;0;0;0;11;0;6;nc;1;0;9;0;1;1.6780881;ZPYS;-99;-99;6u_s_12_b_2D.png;6u_s_12_b_2D.png;431.949612;1;2;2D
106;18;m;r;c;n;n;1;series1c;13;0;0;0;3;0;6;nc;1;0;9;0;1;1.583417;JWCT;-99;-99;6u_s_4_b_2D.png;6u_s_4_b_2D.png;439.4568541;1;2;2D
106;18;m;r;c;n;n;1;series1c;14;0;0;0;16;0;6;nc;0;0;9;0;1;1.3091003;GPVM;GPVM;1;6u_s_17_2D.png;6u_s_17_2D.png;451.6189056;1;2;2D
106;18;m;r;c;n;n;1;series1c;15;0;0;0;17;0;6;nc;1;0;9;0;1;1.1077146;WSFK;-99;-99;6u_s_18_b_2D.png;6u_s_18_b_2D.png;458.6087959;1;2;2D
106;18;m;r;c;n;n;1;series1c;16;1;0;0;18;0;6;nc;0;0;-1;1;-99999;-1;PRJD;-99;-99;6u_s_19_2D.png;6u_d_19_2D.png;467.6175578;1;2;2D
106;18;m;r;c;n;n;1;series1c;17;0;0;0;19;0;6;nc;0;0;9;0;1;1.3471477;JWRG;-99;-99;6u_s_20_2D.png;6u_s_20_2D.png;474.6912732;1;2;2D
106;18;m;r;c;n;n;1;series1c;18;1;0;0;2;0;6;nc;0;0;1;0;1;1.1837816;QLPN;-99;-99;6u_s_3_2D.png;6u_d_3_2D.png;482.0484389;1;2;2D
106;18;m;r;c;n;n;1;series1c;19;0;0;0;15;0;6;nc;0;0;9;0;1;1.4996569;QTYZ;-99;-99;6u_s_16_2D.png;6u_s_16_2D.png;489.50568;1;2;2D
106;18;m;r;c;n;n;1;series1c;20;1;0;0;20;0;6;nc;0;0;9;0;0;2.3956624;BHCW;-99;-99;6u_s_21_2D.png;6u_d_21_2D.png;497.8134778;1;2;2D
106;18;m;r;c;n;n;1;series1c;21;0;0;0;10;0;6;nc;0;0;9;0;1;1.0035187;VHGQ;-99;-99;6u_s_11_2D.png;6u_s_11_2D.png;504.8369832;1;2;2D
106;18;m;r;c;n;n;1;series1c;22;1;0;0;11;0;6;nc;1;0;1;0;1;1.1752564;MQBT;-99;-99;6u_s_12_b_2D.png;6u_d_12_b_2D.png;512.1441034;1;2;2D
106;18;m;r;c;n;n;1;series1c;23;1;0;0;9;0;6;nc;0;0;1;0;1;0.867206299999;BGFK;-99;-99;6u_s_10_2D.png;6u_d_10_2D.png;518.7838637;1;2;2D
106;18;m;r;c;n;n;1;series1c;0;1;0;0;12;0;6;nc;0;0;9;0;0;1.1529011;MQNL;-99;-99;6u_s_13.png;6u_d_13.png;528.8939011;1;2;3D
106;18;m;r;c;n;n;1;series1c;1;1;0;0;12;0;6;nc;1;0;9;0;0;1.2515679;JZMV;-99;-99;6u_s_13_b.png;6u_d_13_b.png;535.9672093;1;2;3D
106;18;m;r;c;n;n;1;series1c;2;0;0;0;21;0;6;nc;0;0;9;0;1;1.1940529;TDNY;-99;-99;6u_s_22.png;6u_s_22.png;542.9738621;1;2;3D
106;18;m;r;c;n;n;1;series1c;3;0;0;0;16;0;6;nc;1;0;9;0;1;0.9554135;BKLV;-99;-99;6u_s_17_b.png;6u_s_17_b.png;549.9476786;1;2;3D
106;18;m;r;c;n;n;1;series1c;4;0;0;0;6;0;6;nc;0;0;9;0;1;1.5246113;FCZH;-99;-99;6u_s_7.png;6u_s_7.png;557.3214234;1;2;3D
106;18;m;r;c;n;n;1;series1c;5;0;0;0;2;0;6;nc;1;0;9;0;1;0.955388300001;DSXR;-99;-99;6u_s_3_b.png;6u_s_3_b.png;564.2114667;1;2;3D
106;18;m;r;c;n;n;1;series1c;6;0;0;0;8;0;6;nc;1;0;1;0;0;1.5263924;KSDM;-99;-99;6u_s_9_b.png;6u_s_9_b.png;571.5519356;1;2;3D
106;18;m;r;c;n;n;1;series1c;7;0;0;0;11;0;6;nc;1;0;9;0;1;0.9603711;TZPK;-99;-99;6u_s_12_b.png;6u_s_12_b.png;578.3585511;1;2;3D
106;18;m;r;c;n;n;1;series1c;8;0;0;0;7;0;6;nc;1;0;1;0;0;1.4010358;FDQS;-99;-99;6u_s_8_b.png;6u_s_8_b.png;585.6323066;1;2;3D
106;18;m;r;c;n;n;1;series1c;9;0;0;0;12;0;6;nc;0;0;9;0;1;0.9977045;QDNP;-99;-99;6u_s_13.png;6u_s_13.png;592.7224436;1;2;3D
106;18;m;r;c;n;n;1;series1c;10;0;0;0;22;0;6;nc;1;0;9;0;1;1.0057528;GJBX;GJBX;1;6u_s_23_b.png;6u_s_23_b.png;603.8832934;1;2;3D
106;18;m;r;c;n;n;1;series1c;11;1;0;0;0;0;6;nc;1;0;9;0;0;0.978824900001;NPGQ;-99;-99;6u_s_1_b.png;6u_d_1_b.png;610.7564196;1;2;3D
106;18;m;r;c;n;n;1;series1c;12;1;0;0;9;0;6;nc;0;0;9;0;0;1.8993285;QMLF;-99;-99;6u_s_10.png;6u_d_10.png;618.7143702;1;2;3D
106;18;m;r;c;n;n;1;series1c;13;1;0;0;23;0;6;nc;1;0;1;0;1;0.9842642;HLVN;HLVN;1;6u_s_24_b.png;6u_d_24_b.png;629.5915911;1;2;3D
106;18;m;r;c;n;n;1;series1c;14;0;0;0;23;0;6;nc;1;0;9;0;1;1.0643471;FSPQ;FSBQ;0;6u_s_24_b.png;6u_s_24_b.png;640.9692663;1;2;3D
