subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
104;18;m;r;c;n;n;1;series1c;0;0;0;0;17;0;6;nc;1;0;9;0;1;2.40978100919;HMSG;HSMG;0;6u_s_18_b.png;6u_s_18_b.png;327.995657676;2;2;3D
104;18;m;r;c;n;n;1;series1c;1;1;0;0;22;0;6;nc;1;0;1;0;1;0.606734100729;PLJK;-99;-99;6u_s_23_b.png;6u_d_23_b.png;335.312265885;2;2;3D
104;18;m;r;c;n;n;1;series1c;2;0;0;0;12;0;6;nc;0;0;1;0;0;0.749955697684;PDFB;PDFB;1;6u_s_13.png;6u_s_13.png;348.112073828;2;2;3D
104;18;m;r;c;n;n;1;series1c;3;0;0;0;23;0;6;nc;1;0;-1;1;-99999;-1;SYGQ;SYGQ;1;6u_s_24_b.png;6u_s_24_b.png;361.695230356;2;2;3D
104;18;m;r;c;n;n;1;series1c;4;1;0;0;10;0;6;nc;0;0;9;0;0;0.646297433646;ZXRG;-99;-99;6u_s_11.png;6u_d_11.png;368.361878344;2;2;3D
104;18;m;r;c;n;n;1;series1c;5;1;0;0;10;0;6;nc;1;0;9;0;0;0.541032344336;QTPL;-99;-99;6u_s_11_b.png;6u_d_11_b.png;375.695129947;2;2;3D
104;18;m;r;c;n;n;1;series1c;6;0;0;0;20;0;6;nc;1;0;9;0;1;2.45524883317;LJFC;-99;-99;6u_s_21_b.png;6u_s_21_b.png;384.561637761;2;2;3D
104;18;m;r;c;n;n;1;series1c;7;0;0;0;7;0;6;nc;0;0;9;0;1;0.977340328041;MYLT;-99;-99;6u_s_8.png;6u_s_8.png;391.62826197;2;2;3D
104;18;m;r;c;n;n;1;series1c;8;1;0;0;3;0;6;nc;1;0;9;0;0;0.506750569912;PDST;PDST;1;6u_s_4_b.png;6u_d_4_b.png;402.711389057;2;2;3D
104;18;m;r;c;n;n;1;series1c;9;0;0;0;15;0;6;nc;0;0;9;0;1;0.592749121133;DZHX;-99;-99;6u_s_16.png;6u_s_16.png;409.661364154;2;2;3D
104;18;m;r;c;n;n;1;series1c;10;1;0;0;15;0;6;nc;0;0;9;0;0;0.524884451646;FNYL;-99;-99;6u_s_16.png;6u_d_16.png;416.094626026;2;2;3D
104;18;m;r;c;n;n;1;series1c;11;0;0;0;14;0;6;nc;1;0;1;0;0;1.07902284339;QVPK;-99;-99;6u_s_15_b.png;6u_s_15_b.png;423.194535885;2;2;3D
104;18;m;r;c;n;n;1;series1c;12;1;0;0;11;0;6;nc;1;0;9;0;0;0.691775497282;CPWK;-99;-99;6u_s_12_b.png;6u_d_12_b.png;430.094447395;2;2;3D
104;18;m;r;c;n;n;1;series1c;13;0;0;0;6;0;6;nc;0;0;9;0;1;1.05176769244;GXSD;-99;-99;6u_s_7.png;6u_s_7.png;437.86096798;2;2;3D
104;18;m;r;c;n;n;1;series1c;14;0;0;0;0;0;6;nc;0;0;9;0;1;0.861797703896;PVMY;-99;-99;6u_s_1.png;6u_s_1.png;444.810936251;2;2;3D
104;18;m;r;c;n;n;1;series1c;15;0;0;0;4;0;6;nc;0;0;9;0;1;0.764544552425;WBSV;-99;-99;6u_s_5.png;6u_s_5.png;451.54414587;2;2;3D
