subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
109;18;m;r;c;n;n;1;series1c;0;0;0;0;1;0;6;nc;0;0;9;0;1;0.542012538994;LFJK;-99;-99;6u_s_2_2D.png;6u_s_2_2D.png;211.153507096;1;1;2D
109;18;m;r;c;n;n;1;series1c;1;0;0;0;5;0;6;nc;0;0;9;0;1;0.581080654403;CDWR;-99;-99;6u_s_6_2D.png;6u_s_6_2D.png;218.203387502;1;1;2D
109;18;m;r;c;n;n;1;series1c;2;1;0;0;15;0;6;nc;1;0;9;0;0;0.704215660924;DSKC;-99;-99;6u_s_16_b_2D.png;6u_d_16_b_2D.png;225.669942989;1;1;2D
109;18;m;r;c;n;n;1;series1c;3;1;0;0;13;0;6;nc;1;0;1;0;1;0.718817031011;DPTJ;DPTJ;1;6u_s_14_b_2D.png;6u_d_14_b_2D.png;238.386422743;1;1;2D
109;18;m;r;c;n;n;1;series1c;4;0;0;0;20;0;6;nc;1;0;9;0;1;1.51629992807;MVGQ;-99;-99;6u_s_21_b_2D.png;6u_s_21_b_2D.png;246.186358686;1;1;2D
109;18;m;r;c;n;n;1;series1c;5;0;0;0;8;0;6;nc;1;0;9;0;1;0.691703533055;NBWL;-99;-99;6u_s_9_b_2D.png;6u_s_9_b_2D.png;253.969676835;1;1;2D
109;18;m;r;c;n;n;1;series1c;6;1;0;0;15;0;6;nc;0;0;9;0;0;1.05711467261;LZXS;LZXS;1;6u_s_16_2D.png;6u_d_16_2D.png;265.902765622;1;1;2D
109;18;m;r;c;n;n;1;series1c;7;1;0;0;23;0;6;nc;1;0;9;0;0;0.720856210915;MCNH;-99;-99;6u_s_24_b_2D.png;6u_d_24_b_2D.png;274.485995251;1;1;2D
109;18;m;r;c;n;n;1;series1c;8;0;0;0;9;0;6;nc;0;0;9;0;1;1.08876846801;BWFM;-99;-99;6u_s_10_2D.png;6u_s_10_2D.png;283.252551962;1;1;2D
109;18;m;r;c;n;n;1;series1c;9;1;0;0;1;0;6;nc;0;0;9;0;0;1.12677190895;BPGQ;-99;-99;6u_s_2_2D.png;6u_d_2_2D.png;290.735863483;1;1;2D
109;18;m;r;c;n;n;1;series1c;10;0;0;0;18;0;6;nc;0;0;9;0;1;1.01885380968;YVST;-99;-99;6u_s_19_2D.png;6u_s_19_2D.png;298.135704592;1;1;2D
109;18;m;r;c;n;n;1;series1c;11;0;0;0;2;0;6;nc;1;0;9;0;1;1.12432056968;YNJK;-99;-99;6u_s_3_b_2D.png;6u_s_3_b_2D.png;305.602281697;1;1;2D
109;18;m;r;c;n;n;1;series1c;12;1;0;0;9;0;6;nc;0;0;1;0;1;0.945189039921;YCKQ;-99;-99;6u_s_10_2D.png;6u_d_10_2D.png;312.702232801;1;1;2D
109;18;m;r;c;n;n;1;series1c;13;0;0;0;15;0;6;nc;0;0;9;0;1;0.965042386437;GJRB;GJRQ;0;6u_s_16_2D.png;6u_s_16_2D.png;324.285360884;1;1;2D
109;18;m;r;c;n;n;1;series1c;14;1;0;0;21;0;6;nc;0;0;1;0;1;0.99343332299;CDQT;CDQT;1;6u_s_22_2D.png;6u_d_22_2D.png;339.085184188;1;1;2D
109;18;m;r;c;n;n;1;series1c;15;0;0;0;13;0;6;nc;1;0;1;0;0;1.41148795839;DCNR;-99;-99;6u_s_14_b_2D.png;6u_s_14_b_2D.png;349.518428139;1;1;2D
