subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
118;17;f;r;c;n;n;1;series1c;0;1;0;0;23;0;6;nc;0;0;9;0;0;1.48553075432;LSBW;-99;-99;6u_s_24.png;6u_d_24.png;207.642460567;1;2;3D
118;17;f;r;c;n;n;1;series1c;1;1;0;0;15;0;6;nc;0;0;-1;1;-99999;-1;JNCB;-99;-99;6u_s_16.png;6u_d_16.png;217.875700764;1;2;3D
118;17;f;r;c;n;n;1;series1c;2;0;0;0;9;0;6;nc;1;0;9;0;1;0.513737086672;TDBK;TDBK;1;6u_s_10_b.png;6u_s_10_b.png;231.325477176;1;2;3D
118;17;f;r;c;n;n;1;series1c;3;1;0;0;5;0;6;nc;0;0;1;0;1;1.36518557556;FYKW;-99;-99;6u_s_6.png;6u_d_6.png;238.925427569;1;2;3D
118;17;f;r;c;n;n;1;series1c;4;0;0;0;22;0;6;nc;0;0;1;0;0;2.06662506191;QTLN;QTLN;1;6u_s_23.png;6u_s_23.png;255.558531631;1;2;3D
118;17;f;r;c;n;n;1;series1c;5;0;0;0;19;0;6;nc;1;0;9;0;1;1.29325079522;NJBF;-99;-99;6u_s_20_b.png;6u_s_20_b.png;263.858497014;1;2;3D
118;17;f;r;c;n;n;1;series1c;6;0;0;0;17;0;6;nc;0;0;9;0;1;0.72501137061;GPTL;JPTL;0;6u_s_18.png;6u_s_18.png;276.558245765;1;2;3D
118;17;f;r;c;n;n;1;series1c;7;0;0;0;4;0;6;nc;0;0;9;0;1;0.770360296825;DXGV;-99;-99;6u_s_5.png;6u_s_5.png;284.824845568;1;2;3D
118;17;f;r;c;n;n;1;series1c;8;0;0;0;12;0;6;nc;0;0;9;0;1;1.31443733117;KGLM;KGLM;1;6u_s_13.png;6u_s_13.png;297.391341066;1;2;3D
118;17;f;r;c;n;n;1;series1c;9;0;0;0;11;0;6;nc;0;0;9;0;1;1.0412008774;GBJC;-99;-99;6u_s_12.png;6u_s_12.png;304.724602909;1;2;3D
118;17;f;r;c;n;n;1;series1c;10;1;0;0;3;0;6;nc;0;0;1;0;1;0.933250635862;HPFG;HPFG;1;6u_s_4.png;6u_d_4.png;316.674461099;1;2;3D
118;17;f;r;c;n;n;1;series1c;11;1;0;0;0;0;6;nc;1;0;1;0;1;1.33944622707;DJBG;-99;-99;6u_s_1_b.png;6u_d_1_b.png;324.374426027;1;2;3D
118;17;f;r;c;n;n;1;series1c;12;1;0;0;4;0;6;nc;1;0;9;0;0;0.671012498904;QNKF;-99;-99;6u_s_5_b.png;6u_d_5_b.png;331.624281459;1;2;3D
118;17;f;r;c;n;n;1;series1c;13;1;0;0;13;0;6;nc;1;0;1;0;1;1.07842835528;WFNJ;-99;-99;6u_s_14_b.png;6u_d_14_b.png;343.040886282;1;2;3D
118;17;f;r;c;n;n;1;series1c;14;1;0;0;13;0;6;nc;0;0;1;0;1;0.773222373566;WGMS;-99;-99;6u_s_14.png;6u_d_14.png;350.374077299;1;2;3D
118;17;f;r;c;n;n;1;series1c;15;1;0;0;18;0;6;nc;1;0;1;0;1;1.12055054726;VLWC;-99;-99;6u_s_19_b.png;6u_d_19_b.png;364.440552174;1;2;3D
118;17;f;r;c;n;n;1;series1c;16;1;0;0;12;0;6;nc;1;0;1;0;1;0.916014744667;QRNV;-99;-99;6u_s_13_b.png;6u_d_13_b.png;372.557115384;1;2;3D
118;17;f;r;c;n;n;1;series1c;17;0;0;0;4;0;6;nc;1;0;1;0;0;0.872919184621;VWRJ;-99;-99;6u_s_5_b.png;6u_s_5_b.png;383.59052875;1;2;3D
118;17;f;r;c;n;n;1;series1c;18;1;0;0;16;0;6;nc;0;0;9;0;0;0.668888269924;QDHP;-99;-99;6u_s_17.png;6u_d_17.png;392.090212306;1;2;3D
118;17;f;r;c;n;n;1;series1c;19;1;0;0;5;0;6;nc;1;0;1;0;1;1.22769524297;XBFV;-99;-99;6u_s_6_b.png;6u_d_6_b.png;404.67346526;1;2;3D
118;17;f;r;c;n;n;1;series1c;20;0;0;0;10;0;6;nc;0;0;1;0;0;0.615320046665;HYVW;-99;-99;6u_s_11.png;6u_s_11.png;415.773262765;1;2;3D
118;17;f;r;c;n;n;1;series1c;21;1;0;0;14;0;6;nc;0;0;1;0;1;0.992574870586;FCTY;-99;-99;6u_s_15.png;6u_d_15.png;423.523203671;1;2;3D
118;17;f;r;c;n;n;1;series1c;22;0;0;0;1;0;6;nc;0;0;9;0;1;1.04144777521;ZCBX;-99;-99;6u_s_2.png;6u_s_2.png;432.356345621;1;2;3D
118;17;f;r;c;n;n;1;series1c;23;0;0;0;16;0;6;nc;0;0;9;0;1;1.05053747143;VZDC;-99;-99;6u_s_17.png;6u_s_17.png;440.156282987;1;2;3D
