instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,struc_judge_respond.rt,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
0,0,0,0,1,Instructions/instr_1.png,5,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_2.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_3.png,5,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_4.png,1,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_5.png,1,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_6.png,1,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_7.png,1,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_8.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_9.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_10.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_11.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_12.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_13.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_14.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_15.png,3,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,15,15,15,1,Instructions/instr_16.png,5,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,0,1,0,2.41768,0,0,0,4,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_d.png,1,1,,,,,,,,,
,,,,,,,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.822965,0,1,1,5,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_s.png,0,9,1.3179,,,,,,,,
,,,,,,,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,,0,9,1,1.01546,0,2,2,6,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_d.png,1,1,,,,,,,,,
,,,,,,,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,1,0.861855,0,3,3,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,1.339795,,,,,,,,
,,,,,,,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.71857,0,4,4,7,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_s.png,0,9,1.22596,,,,,,,,
,,,,,,,18,Male,B,2020-05-02_00h24.32.457,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.403485,0,5,5,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,0.58702,,,,,,,,
