instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.539785,9,1,0.803315,0,1,1,16,1,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.88697,9,1,0.794105,0,2,2,5,1,Stimuli/testStimuliSquare/6u_s_3_2D.png,Stimuli/testStimuliSquare/6u_d_3_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.503935,9,0,1.478555,0,3,3,15,1,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,Stimuli/testStimuliSquare/6u_d_2_s_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,0,1.026095,9,1,1.01795,0,4,4,12,1,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.89261,9,1,0.77223,0,5,5,10,1,Stimuli/testStimuliSquare/6u_s_6_2D.png,Stimuli/testStimuliSquare/6u_s_6_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.67913,9,1,0.79331,0,6,6,4,1,Stimuli/testStimuliSquare/6u_s_3_2D.png,Stimuli/testStimuliSquare/6u_s_3_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.855465,1,1,0.9176,0,7,7,18,1,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.6836,1,1,1.413595,0,8,8,1,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_d_1_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.69055,1,1,1.348745,0,9,9,14,1,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.27537,1,1,1.75745,0,10,10,23,1,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,Stimuli/testStimuliSquare/6u_d_6_s_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.87269,9,1,0.819945,0,11,11,2,1,Stimuli/testStimuliSquare/6u_s_2_2D.png,Stimuli/testStimuliSquare/6u_s_2_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.772225,9,1,1.150265,0,12,12,22,1,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.93472,1,1,1.335655,0,13,13,13,1,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,Stimuli/testStimuliSquare/6u_d_1_s_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.246575,9,1,0.71063,0,14,14,21,1,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,Stimuli/testStimuliSquare/6u_d_5_s_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.840515,1,1,1.21299,0,15,15,0,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_s_1_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.764645,9,1,0.912615,0,16,16,6,1,Stimuli/testStimuliSquare/6u_s_4_2D.png,Stimuli/testStimuliSquare/6u_s_4_2D.png,0,9,,,,,,,,
