instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,struc_judge_respond.rt,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.092505,0,5,5,8,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_s_5_2D.png,0,9,0.95542,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.114305,0,6,6,0,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_s_1_2D.png,0,9,0.875805,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.916485,0,7,7,19,1,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,Stimuli/testStimuliSquare/6u_d_4_s_2D.png,1,1,1.23306,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.104375,0,8,8,21,1,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,Stimuli/testStimuliSquare/6u_d_5_s_2D.png,1,1,1.030895,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.36826,0,9,9,9,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_d_5_2D.png,1,1,1.03293,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.955955,0,10,10,2,1,Stimuli/testStimuliSquare/6u_s_2_2D.png,Stimuli/testStimuliSquare/6u_s_2_2D.png,0,9,1.077445,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.035915,0,11,11,23,1,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,Stimuli/testStimuliSquare/6u_d_6_s_2D.png,1,1,1.212985,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.666395,0,12,12,20,1,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,0,9,1.173745,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.80623,0,13,13,10,1,Stimuli/testStimuliSquare/6u_s_6_2D.png,Stimuli/testStimuliSquare/6u_s_6_2D.png,0,9,1.11235,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.217235,0,14,14,4,1,Stimuli/testStimuliSquare/6u_s_3_2D.png,Stimuli/testStimuliSquare/6u_s_3_2D.png,0,9,0.878455,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,1.323595,0,15,15,22,1,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,0,9,1.14087,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,0,1.29885,0,16,16,18,1,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,0,9,1.08971,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,0,9,1,0.8918,0,17,17,6,1,Stimuli/testStimuliSquare/6u_s_4_2D.png,Stimuli/testStimuliSquare/6u_s_4_2D.png,0,9,1.1714,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,0,1,1,3.76687,0,18,18,15,1,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,Stimuli/testStimuliSquare/6u_d_2_s_2D.png,1,1,,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,1.103945,0,19,19,14,1,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,0,9,1.241375,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.56864,0,20,20,13,1,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,Stimuli/testStimuliSquare/6u_d_1_s_2D.png,1,1,0.813615,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,2.11723,0,21,21,1,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_d_1_2D.png,1,1,0.81264,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,0,1,0,1.802315,0,22,22,11,1,Stimuli/testStimuliSquare/6u_s_6_2D.png,Stimuli/testStimuliSquare/6u_d_6_2D.png,1,1,1.097105,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.919,0,23,23,12,1,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,0,9,1.26465,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,1,1,1,1,Stimuli/trialListSquares1.xlsx,Instructions/instr_17.png,Progress: 24 of 192 trials completed
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.101675,0,0,0,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,0.76861,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,0,1.966765,0,1,1,3,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_d.png,1,1,0.830215,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.009325,0,2,2,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,0.77542,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.687505,0,3,3,2,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_s.png,0,9,1.33057,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,2,2,2,1,Stimuli/practiceListCubes.xlsx,Instructions/instr_20_practice.png,Practice trials completed
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.20508,0,0,0,13,1,Stimuli/testStimuliCube/6u_s_19_s.png,Stimuli/testStimuliCube/6u_d_19_s.png,1,1,1.097895,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,0,9,1,1.519455,0,1,1,22,1,Stimuli/testStimuliCube/6u_s_24_s.png,Stimuli/testStimuliCube/6u_s_24_s.png,0,9,0.725685,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,1,1.28757,0,2,2,21,1,Stimuli/testStimuliCube/6u_s_23_s.png,Stimuli/testStimuliCube/6u_d_23_s.png,1,1,1.33586,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,1,1.41335,0,3,3,9,1,Stimuli/testStimuliCube/6u_s_23.png,Stimuli/testStimuliCube/6u_d_23.png,1,1,1.031385,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,0,9,0,1.2947,0,4,4,20,1,Stimuli/testStimuliCube/6u_s_23_s.png,Stimuli/testStimuliCube/6u_s_23_s.png,0,9,1.174235,,,,,,,,
